,VICR
% Above Low,0.19510000000000002
% Held by Institutions,0.569
52-Wk Range,['42.90 - 152.00']
Annual Dividend $,
Annual Dividend %,
Ask,51.67
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,50.98
Bid Size,200.0
Closing Price,51.27
Day Change $,-2.8
Day Change %,-0.0518
Day High,54.86
Day Low,51.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.58
Ex-dividend Date,No dividend
Historical Volatility,0.741
Last (size),15.0
Last (time),3:59p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",92.6
Prev Close,54.07
Short Interest,0.0559
Today's Open,53.2
Volume,240315.0
Volume 10-day Avg,198948.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.41666666666666674
Growth 2yr High Est,0.7123287671232876
Growth 2yr Consensus Est,0.5644977168949772
Growth 5yr Low Est,0.41666666666666674
Growth 5yr High Est,0.7123287671232876
Growth 5yr Consensus Est,0.5644977168949772
Growth 5yr Actual/Est,0.6050154999075028
Growth 3yr Historic,0.5697632711621234
Price/Earnings (TTM),92.60306
Price/Sales (TTM),6.2045
Price/Book (MRQ),5.26183
Price/Cash Flow (TTM),60.06063
5yr Low,16.3
5yr High,164.76
5yr Avg Return,0.2867666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.1240339
Dividend Growth 5yr,
Short Int Current Month,1251941.0
Short Int Prev Month,1430645.0
Short Int Pct of Float,0.055920500000000005
Days to Cover,4.23669
Float,22.39081
Shares Outstanding,44.04853
Institutions Holding Shares,263.0
FCF Growth 5yr,-1.0528317539730496
"Price/Earnings (TTM, GAAP)",92.6
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4487
Operating Profit Margin (TTM),0.0729
Net Profit Margin (TTM),0.0684
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.831
EPS Growth (TTM),-0.5555
Revenue Growth (MRQ),0.0091
Revenue Growth (TTM),0.08630000000000002
Return On Equity (TTM),0.0608
Return On Assets (TTM),0.0533
Return On Investment (TTM),0.059800000000000006
Revenue Per Employee (TTM),373775.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.1
Interest Coverage (MRQ),12.38
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-26 00:00:00
theStreet since,2022-03-24 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-26 00:00:00
cfra since,
marketEdge opinion since,
