,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,11.83,18.84,11.0,,,,,
low,9.83,8.9,3.18,,,,,
change,0.15789999999999998,-0.0429,-0.3605,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,143.0,100.0,105.0,100.0,Balance Sheet
Short Term Investments,,,,343.0,350.0,312.0,293.0,Balance Sheet
Cash and Short Term Invs,,,,485.0,450.0,416.0,393.0,Balance Sheet
"Total Receivables, Net",,,,2.0,2.0,2.0,2.0,Balance Sheet
Prepaid Expenses,,,,5.0,8.0,17.0,6.0,Balance Sheet
"Other Curr. Assets, Total",,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Current Assets,,,,492.0,461.0,436.0,402.0,Balance Sheet
Buildings,,,,0.0,0.0,0.0,3.0,Balance Sheet
Machinery/Equipment,,,,6.0,6.0,6.0,10.0,Balance Sheet
Construction in Progress,,,,1.0,3.0,5.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,,2.0,1.0,1.0,49.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,9.0,10.0,12.0,62.0,Balance Sheet
Accumulated Depreciation,,,,-3.0,-3.0,-3.0,-3.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,6.0,7.0,9.0,59.0,Balance Sheet
Other Long Term Assets,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Assets,,,,500.0,472.0,448.0,464.0,Balance Sheet
Accounts Payable,,,,3.0,3.0,2.0,6.0,Balance Sheet
Accrued Expenses,,,,11.0,11.0,15.0,17.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,26.0,25.0,28.0,28.0,Balance Sheet
Income Taxes Payable,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,26.0,25.0,28.0,28.0,Balance Sheet
Total Current Liabilities,,,,41.0,39.0,45.0,51.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,115.0,112.0,105.0,140.0,Balance Sheet
Total Liabilities,,,,155.0,151.0,150.0,191.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,507.0,510.0,514.0,518.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-161.0,-187.0,-211.0,-240.0,Balance Sheet
"Other Equity, Total",,,,-1.0,-3.0,-4.0,-5.0,Balance Sheet
Total Equity,,,,345.0,320.0,299.0,273.0,Balance Sheet
