,TNGX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),27.18,45.03,Valuation,0.603597601598934
Price/Book (MRQ),2.4,12.61,Valuation,0.19032513877874702
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-4.2412,-4.7459,Profitability,0.8936555763922545
Net Profit Margin (TTM),-4.1863,-4.5467,Profitability,0.9207337189610046
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.168,-0.0014000000000000002,Gowth rates,119.99999999999999
EPS Growth (TTM),-1.0876000000000001,0.027200000000000002,Gowth rates,-39.98529411764706
Revenue Growth (MRQ),0.1991,1.3963999999999999,Gowth rates,0.14258092237181325
Revenue Growth (TTM),-0.2286,0.9747,Gowth rates,-0.23453370267774698
Return On Equity (TTM),-0.3169,0.1967,Effectiveness,-1.6110828673106252
Return On Assets (TTM),-0.20350000000000001,0.0016,Effectiveness,-127.1875
Return On Investment (TTM),-0.22460000000000002,0.0219,Effectiveness,-10.255707762557078
Revenue Per Employee (TTM),265549.0,1476201.0,Effectiveness,0.1798867498396221
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
