,FIS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",43.06,53.12,Valuation,0.8106174698795181
Price/Sales (TTM),2.7,19.35,Valuation,0.13953488372093023
Price/Book (MRQ),0.87,19.03,Valuation,0.04571728849185496
"PEG Ratio (TTM, GAAP)",10.08,3.41,Valuation,2.9560117302052786
Gross Profit Margin (TTM),0.3874,0.44520000000000004,Profitability,0.8701707097933513
Operating Profit Margin (TTM),0.1,0.3027,Profitability,0.3303600925008259
Net Profit Margin (TTM),0.0653,0.23600000000000002,Profitability,0.2766949152542373
Annual Dividend Yield,0.0285,0.010400000000000001,Dividend,2.740384615384615
Dividend Change %,0.0857,0.0818,Dividend,1.047677261613692
"Dividend Growth Rate, 3 Years",0.0674,0.1223,Dividend,0.5511038430089943
EPS Growth (MRQ),-0.09519999999999999,-3.5570999999999997,Gowth rates,0.02676337465913244
EPS Growth (TTM),3.1845,0.15560000000000002,Gowth rates,20.4659383033419
Revenue Growth (MRQ),-0.0309,0.16460000000000002,Gowth rates,-0.18772782503037663
Revenue Growth (TTM),0.0714,0.2273,Gowth rates,0.3141223053233612
Return On Equity (TTM),0.0203,0.5459,Effectiveness,0.03718629785675032
Return On Assets (TTM),0.0118,0.1131,Effectiveness,0.10433244916003535
Return On Investment (TTM),0.014199999999999999,0.189,Effectiveness,0.07513227513227513
Revenue Per Employee (TTM),222877.0,686063.0,Effectiveness,0.3248637515796654
Total Debt/Total Capital (MRQ),0.2936,0.5613,Financial strength,0.5230714412969891
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0048,Financial strength,0.0
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),11.28,27.21,Financial strength,0.4145534729878721
