,EGLE
% Above Low,0.4343
% Held by Institutions,0.8419
52-Wk Range,['37.05 - 78.75']
Annual Dividend $,7.2
Annual Dividend %,0.1355
Ask,53.6
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,53.0
Bid Size,200.0
Closing Price,53.14
Day Change $,1.22
Day Change %,0.0235
Day High,54.85
Day Low,52.01
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",19.05
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.613
Last (size),8.0
Last (time),12:59p ET 11/25/22
Market Cap,726.7M
"P/E Ratio (TTM, GAAP)",2.79
Prev Close,51.92
Short Interest,0.1305
Today's Open,52.2
Volume,194894.0
Volume 10-day Avg,265481.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6941687344913152
Growth 2yr High Est,-0.44981412639405205
Growth 2yr Consensus Est,-0.5719914304426836
Growth 5yr Low Est,-0.6941687344913152
Growth 5yr High Est,-0.44981412639405205
Growth 5yr Consensus Est,-0.5719914304426836
Growth 5yr Actual/Est,-1.0442827249547872
Growth 3yr Historic,-0.9908263305322129
Price/Earnings (TTM),2.79021
Price/Sales (TTM),0.96532
Price/Book (MRQ),0.84351
Price/Cash Flow (TTM),1.95539
5yr Low,8.89
5yr High,78.75
5yr Avg Return,0.1928166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.36712110000000003
Dividend Growth 5yr,
Short Int Current Month,1664479.0
Short Int Prev Month,1670479.0
Short Int Pct of Float,0.1305354
Days to Cover,5.25206
Float,12.74363
Shares Outstanding,13.68097
Institutions Holding Shares,188.0
FCF Growth 5yr,0.9170906715980168
"Price/Earnings (TTM, GAAP)",2.79
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6512000000000001
Operating Profit Margin (TTM),0.4119
Net Profit Margin (TTM),0.4146
Annual Dividend Yield,0.1355
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.17370000000000002
EPS Growth (TTM),1.9257
Revenue Growth (MRQ),-0.06730000000000001
Revenue Growth (TTM),0.5529000000000001
Return On Equity (TTM),0.4376
Return On Assets (TTM),0.2582
Return On Investment (TTM),0.295
Revenue Per Employee (TTM),753128.0
Total Debt/Total Capital (MRQ),0.2972
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),1.87
Interest Coverage (MRQ),19.11
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-09-30 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-03-07 00:00:00
marketEdge opinion since,
