,CNC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.77,29.13,Valuation,0.8503261242705115
Price/Sales (TTM),0.34,1.32,Valuation,0.25757575757575757
Price/Book (MRQ),1.91,4.31,Valuation,0.4431554524361949
"PEG Ratio (TTM, GAAP)",1.81,0.26,Valuation,6.961538461538462
Gross Profit Margin (TTM),,0.1318,Profitability,
Operating Profit Margin (TTM),0.015700000000000002,0.0458,Profitability,0.34279475982532753
Net Profit Margin (TTM),0.014199999999999999,0.0242,Profitability,0.5867768595041322
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),5.3130999999999995,-0.1478,Gowth rates,-35.94790257104195
EPS Growth (TTM),1.772,-1.101,Gowth rates,-1.6094459582198002
Revenue Growth (MRQ),-0.002,0.0931,Gowth rates,-0.021482277121374866
Revenue Growth (TTM),0.1631,0.1191,Gowth rates,1.36943744752309
Return On Equity (TTM),0.07769999999999999,7.2022,Effectiveness,0.010788370220210489
Return On Assets (TTM),0.0253,0.0403,Effectiveness,0.6277915632754342
Return On Investment (TTM),,0.016,Effectiveness,
Revenue Per Employee (TTM),1952469.0,1375304.0,Effectiveness,1.4196635798339858
Total Debt/Total Capital (MRQ),0.4173,0.4855,Financial strength,0.8595262615859939
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0015,Financial strength,-0.46666666666666673
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),4.7,9.55,Financial strength,0.4921465968586387
