,CNC
% Below High,0.1387
% Held by Institutions,0.9654
52-Wk Range,['69.51 - 98.53']
Annual Dividend $,
Annual Dividend %,
Ask,98.25
Ask Size,500.0
B/A Ratio,1.4
B/A Size,700x500
Beta,0.6
Bid,84.86
Bid Size,700.0
Closing Price,84.86
Day Change $,1.23
Day Change %,0.0147
Day High,85.19
Day Low,83.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.43
Ex-dividend Date,No dividend
Historical Volatility,0.33
Last (size),3900.0
Last (time),5:00p ET 11/25/22
Market Cap,48.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.77
Prev Close,83.63
Short Interest,0.0131
Today's Open,83.8
Volume,1511429.0
Volume 10-day Avg,3561344.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.11394891944990171
Growth 1yr High Est,0.1450381679389312
Growth 1yr Consensus Est,0.12949354369441646
Growth 2yr Low Est,0.10547534155916605
Growth 2yr High Est,0.13918575063613225
Growth 2yr Consensus Est,0.12233054609764915
Growth 5yr Low Est,0.09404074373290228
Growth 5yr High Est,0.11022334971439701
Growth 5yr Consensus Est,0.10213204672364964
Growth 5yr Actual/Est,0.09507861074446716
Growth 3yr Historic,0.040305429864253395
Price/Earnings (TTM),24.76746
Price/Sales (TTM),0.33947
Price/Book (MRQ),1.90629
Price/Cash Flow (TTM),13.46017
5yr Low,41.62
5yr High,98.53
5yr Avg Return,0.10155000000000002
EPS Growth 5yr,0.060002599999999996
Revenue Growth 5yr,0.254127
Dividend Growth 5yr,
Short Int Current Month,7369567.0
Short Int Prev Month,6654924.0
Short Int Pct of Float,0.013086500000000001
Days to Cover,1.97446
Float,563.2136
Shares Outstanding,566.2597
Institutions Holding Shares,1216.0
FCF Growth 5yr,1.1434471366056485
"Price/Earnings (TTM, GAAP)",24.77
"PEG Ratio (TTM, GAAP)",1.81
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.015700000000000002
Net Profit Margin (TTM),0.014199999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),5.3130999999999995
EPS Growth (TTM),1.772
Revenue Growth (MRQ),-0.002
Revenue Growth (TTM),0.1631
Return On Equity (TTM),0.07769999999999999
Return On Assets (TTM),0.0253
Return On Investment (TTM),
Revenue Per Employee (TTM),1952469.0
Total Debt/Total Capital (MRQ),0.4173
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.7
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-26 00:00:00
cfra since,2022-08-26 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-11-04 00:00:00
