,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,17.75,35.75,10.95,,,,,
low,9.76,8.71,4.94,,,,,
change,0.5814,-0.4056,-0.32909999999999995,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,33.0,198.0,118.0,56.0,Balance Sheet
Short Term Investments,,,,167.0,220.0,231.0,159.0,Balance Sheet
Cash and Short Term Invs,,,,201.0,418.0,350.0,215.0,Balance Sheet
Prepaid Expenses,,,,3.0,3.0,6.0,6.0,Balance Sheet
"Other Curr. Assets, Total",,,,142.0,100.0,73.0,100.0,Balance Sheet
Total Current Assets,,,,345.0,521.0,429.0,321.0,Balance Sheet
Buildings,,,,12.0,12.0,15.0,15.0,Balance Sheet
Land/Improvements,,,,4.0,4.0,1.0,1.0,Balance Sheet
Machinery/Equipment,,,,20.0,21.0,21.0,22.0,Balance Sheet
Construction in Progress,,,,194.0,235.0,315.0,408.0,Balance Sheet
Other Prop./Plant/Equip.,,,,0.0,14.0,12.0,20.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,230.0,286.0,364.0,466.0,Balance Sheet
Accumulated Depreciation,,,,-5.0,-6.0,-7.0,-8.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,225.0,280.0,357.0,458.0,Balance Sheet
Deferred Charges,,,,6.0,6.0,6.0,7.0,Balance Sheet
Restricted Cash - LT,,,,89.0,92.0,94.0,101.0,Balance Sheet
Total Assets,,,,665.0,899.0,887.0,887.0,Balance Sheet
Accounts Payable,,,,1.0,2.0,5.0,7.0,Balance Sheet
Payable/Accrued,,,,36.0,18.0,26.0,30.0,Balance Sheet
Accrued Expenses,,,,2.0,7.0,3.0,8.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,,38.0,27.0,33.0,46.0,Balance Sheet
Total Long Term Debt,,,,233.0,233.0,233.0,233.0,Balance Sheet
Total Debt,,,,233.0,233.0,233.0,233.0,Balance Sheet
"Other Liabilities, Total",,,,12.0,76.0,69.0,89.0,Balance Sheet
Total Liabilities,,,,283.0,336.0,336.0,369.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,539.0,747.0,750.0,753.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-158.0,-183.0,-198.0,-233.0,Balance Sheet
"Other Equity, Total",,,,0.0,-1.0,-1.0,-1.0,Balance Sheet
Total Equity,,,,382.0,563.0,551.0,519.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,665.0,899.0,887.0,887.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,128.0,163.0,163.0,164.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,0.0,0.0,0.0,0.0,Income Statement
Selling/Gen/Admin Expense,,,,11343.0,11347.0,9954.0,11982.0,Income Statement
Labor & Related Expense,,,,6900.0,3400.0,3000.0,2400.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,18243.0,14747.0,12954.0,14382.0,Income Statement
Research & Development,,,,310.0,339.0,250.0,254.0,Income Statement
Depreciation/Amortization,,,,793.0,818.0,900.0,900.0,Income Statement
"Other Operat Expse, Total",,,,2533.0,3230.0,5549.0,5551.0,Income Statement
Total Operating Expense,,,,21879.0,19134.0,19653.0,21087.0,Income Statement
Total Operating Income,,,,-21879.0,-19134.0,-19653.0,-21087.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,176.0,1102.0,Income Statement
"Other, Net",,,,3417.0,-5854.0,4473.0,-14963.0,Income Statement
Income Before Tax,,,,-19392.0,-25432.0,-15004.0,-34948.0,Income Statement
Income After Tax,,,,-19392.0,-25432.0,-15004.0,-34948.0,Income Statement
Net Inc Before Extra Items,,,,-19392.0,-25432.0,-15004.0,-34948.0,Income Statement
Total Net Income,,,,-19392.0,-25432.0,-15004.0,-34948.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-19392.0,-25432.0,-15004.0,-34948.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-19392.0,-25432.0,-15004.0,-34948.0,Income Statement
Basic/Primary Weighted Average Shares,,,,124333.0,133244.0,163249.0,163490.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.16,-0.19,-0.09,-0.21,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.16,-0.19,-0.09,-0.21,Income Statement
Diluted Weighted Average Shares,,,,124333.0,133244.0,163249.0,163490.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.16,-0.19,-0.09,-0.21,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.16,-0.19,-0.09,-0.21,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,930.0,444.0,,,Income Statement
"Depreciat/Amort, Suppl",,,,793.0,818.0,900.0,900.0,Income Statement
Normalzd Income Before Tax,,,,-19392.0,-25432.0,-15004.0,-34948.0,Income Statement
Normalized Income After Tax,,,,-19392.0,-25432.0,-15004.0,-34948.0,Income Statement
Normalzd Inc Avail to Common,,,,-19392.0,-25432.0,-15004.0,-34948.0,Income Statement
Basic Normalized EPS,,,,-0.16,-0.19,-0.09,-0.21,Income Statement
Diluted Normalized EPS,,,,-0.16,-0.19,-0.09,-0.21,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-77502.0,-25432.0,-40436.0,-75384.0,Cash Flow
Depreciation/Depletion,,,,2281.0,818.0,1693.0,2583.0,Cash Flow
Unusual Items,,,,1162.0,5835.0,1340.0,16224.0,Cash Flow
Other Non-Cash Items,,,,26274.0,3848.0,7481.0,10923.0,Cash Flow
Non-Cash Items,,,,27436.0,9683.0,8821.0,27147.0,Cash Flow
"Cash Interest Pd, Suppl",,,,1495.0,,650.0,650.0,Cash Flow
Prepaid Expenses,,,,-4910.0,-468.0,-4447.0,-4616.0,Cash Flow
Accounts Payable,,,,-293.0,747.0,1094.0,827.0,Cash Flow
Accrued Expenses,,,,-6519.0,-2272.0,-1815.0,-721.0,Cash Flow
Changes in Working Capital,,,,-6722.0,-1993.0,-5168.0,-4510.0,Cash Flow
Total Cash from Operations,,,,-54507.0,-16924.0,-35090.0,-50164.0,Cash Flow
Capital Expenditures,,,,-137388.0,-52177.0,-127067.0,-212095.0,Cash Flow
Sale/Maturity of Investment,,,,60996.0,45189.0,112968.0,200689.0,Cash Flow
Purchase of Investments,,,,-229183.0,-98070.0,-177755.0,-192388.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-168187.0,-52881.0,-64787.0,8301.0,Cash Flow
Total Cash from Investing,,,,-305575.0,-105058.0,-191854.0,-203794.0,Cash Flow
Financing Cash Flow Items,,,,298425.0,-785.0,-798.0,-811.0,Cash Flow
"Common Stock, Net",,,,-695.0,205022.0,205005.0,204500.0,Cash Flow
Warrants Converted,,,,196.0,43929.0,43929.0,43929.0,Cash Flow
