,CHH
% Above Low,0.1564
% Held by Institutions,0.6095
52-Wk Range,['104.15 - 157.46']
Annual Dividend $,0.95
Annual Dividend %,0.0079
Ask,130.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,50.01
Bid Size,100.0
Closing Price,120.44
Day Change $,0.53
Day Change %,0.0044
Day High,122.25
Day Low,120.19
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",6.1
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.34700000000000003
Last (size),334.0
Last (time),5:00p ET 11/25/22
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.73
Prev Close,119.91
Short Interest,0.0603
Today's Open,120.61
Volume,160214.0
Volume 10-day Avg,345602.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.2595419847328244
Growth 1yr High Est,0.2529002320185616
Growth 1yr Consensus Est,0.256221108375693
Growth 2yr Low Est,0.18835685095227084
Growth 2yr High Est,0.20885752341668817
Growth 2yr Consensus Est,0.1986071871844795
Growth 5yr Low Est,0.20419327108183616
Growth 5yr High Est,0.19585449283995757
Growth 5yr Consensus Est,0.20002388196089688
Growth 5yr Actual/Est,0.19771154146154143
Growth 3yr Historic,0.1115803303303303
Price/Earnings (TTM),19.73485
Price/Sales (TTM),4.84624
Price/Book (MRQ),22.76362
Price/Cash Flow (TTM),17.46982
5yr Low,46.25
5yr High,157.46
5yr Avg Return,0.10621666666666668
EPS Growth 5yr,0.2224105
Revenue Growth 5yr,0.057662899999999996
Dividend Growth 5yr,0.027144400000000003
Short Int Current Month,1775663.0
Short Int Prev Month,1833493.0
Short Int Pct of Float,0.0603061
Days to Cover,3.26193
Float,29.59467
Shares Outstanding,53.2992
Institutions Holding Shares,412.0
FCF Growth 5yr,0.6392581860849191
"Price/Earnings (TTM, GAAP)",19.73
"PEG Ratio (TTM, GAAP)",1.39
Gross Profit Margin (TTM),0.5657
Operating Profit Margin (TTM),0.3839
Net Profit Margin (TTM),0.2572
Annual Dividend Yield,0.0079
Dividend Change %,0.3889
"Dividend Growth Rate, 3 Years",0.0292
EPS Growth (MRQ),-0.0302
EPS Growth (TTM),0.4712
Revenue Growth (MRQ),0.1258
Revenue Growth (TTM),0.3543
Return On Equity (TTM),1.3651
Return On Assets (TTM),0.1681
Return On Investment (TTM),0.2243
Revenue Per Employee (TTM),883070.0
Total Debt/Total Capital (MRQ),0.8028000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),22.17
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-25 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-08-06 00:00:00
