,CHH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.73,114.03,Valuation,0.17302464263790232
Price/Sales (TTM),4.85,5.62,Valuation,0.8629893238434163
Price/Book (MRQ),22.76,8.49,Valuation,2.680800942285041
"PEG Ratio (TTM, GAAP)",1.39,0.53,Valuation,2.622641509433962
Gross Profit Margin (TTM),0.5657,0.4054,Profitability,1.395411938825851
Operating Profit Margin (TTM),0.3839,0.163,Profitability,2.3552147239263803
Net Profit Margin (TTM),0.2572,0.0779,Profitability,3.3016688061617456
Annual Dividend Yield,0.0079,0.011200000000000002,Dividend,0.7053571428571428
Dividend Change %,0.3889,0.056100000000000004,Dividend,6.932263814616756
"Dividend Growth Rate, 3 Years",0.0292,0.031000000000000003,Dividend,0.9419354838709677
EPS Growth (MRQ),-0.0302,0.3309,Gowth rates,-0.09126624357812027
EPS Growth (TTM),0.4712,2.1359,Gowth rates,0.22060957910014514
Revenue Growth (MRQ),0.1258,0.38439999999999996,Gowth rates,0.3272632674297607
Revenue Growth (TTM),0.3543,0.7695000000000001,Gowth rates,0.4604288499025341
Return On Equity (TTM),1.3651,0.19090000000000001,Effectiveness,7.150864326872708
Return On Assets (TTM),0.1681,0.0758,Effectiveness,2.217678100263852
Return On Investment (TTM),0.2243,0.1005,Effectiveness,2.2318407960199003
Revenue Per Employee (TTM),883070.0,285753.0,Effectiveness,3.0903262607916626
Total Debt/Total Capital (MRQ),0.8028000000000001,1.1596,Financial strength,0.6923076923076924
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.002,Financial strength,-0.35000000000000003
Quick Ratio (MRQ),,0.81,Financial strength,
Interest Coverage (MRQ),22.17,40.22,Financial strength,0.5512182993535555
