,IIIV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.12,Valuation,
Price/Sales (TTM),2.6,19.35,Valuation,0.1343669250645995
Price/Book (MRQ),3.79,19.03,Valuation,0.19915922228060956
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.7692,0.44520000000000004,Profitability,1.7277628032345012
Operating Profit Margin (TTM),-0.0077,0.3027,Profitability,-0.02543772712256359
Net Profit Margin (TTM),-0.073,0.23600000000000002,Profitability,-0.30932203389830504
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.0857,-3.5570999999999997,Gowth rates,-0.024092659750920696
EPS Growth (TTM),-3.5194,0.15560000000000002,Gowth rates,-22.618251928020563
Revenue Growth (MRQ),0.058300000000000005,0.16460000000000002,Gowth rates,0.3541919805589307
Revenue Growth (TTM),0.3946,0.2273,Gowth rates,1.7360316761988561
Return On Equity (TTM),-0.0808,0.5459,Effectiveness,-0.14801245649386333
Return On Assets (TTM),-0.0327,0.1131,Effectiveness,-0.2891246684350132
Return On Investment (TTM),-0.0446,0.189,Effectiveness,-0.23597883597883598
Revenue Per Employee (TTM),194174.0,686063.0,Effectiveness,0.2830264859058133
Total Debt/Total Capital (MRQ),0.4826,0.5613,Financial strength,0.8597897737395331
Change in Debt/Total Capital Quarter over Quarter,0.0021,0.0048,Financial strength,0.4375
Quick Ratio (MRQ),0.72,0.16,Financial strength,4.5
Interest Coverage (MRQ),1.65,27.21,Financial strength,0.060639470782800436
