,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,25.5,31.45,37.85,35.99,30.26,,,,,
low,13.79,18.65,13.01,17.8,18.59,,,,,
change,0.33890000000000003,0.1727,0.1686,-0.3168,0.0889,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,3.0,6.0,9.0,3.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,40.0,43.0,44.0,53.0,Balance Sheet
Notes Recvble - Short Term,,,,,,,,,5.0,Balance Sheet
"Total Receivables, Net",,,,,,40.0,43.0,44.0,58.0,Balance Sheet
Total Inventory,,,,,,3.0,4.0,4.0,4.0,Balance Sheet
Prepaid Expenses,,,,,,10.0,8.0,6.0,6.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,11.0,10.0,11.0,11.0,Balance Sheet
Total Current Assets,,,,,,67.0,71.0,73.0,84.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,26.0,26.0,24.0,23.0,Balance Sheet
"Goodwill, Net",,,,,,350.0,349.0,354.0,354.0,Balance Sheet
Intangibles - Gross,,,,,,334.0,334.0,336.0,337.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-75.0,-80.0,-84.0,-89.0,Balance Sheet
Intangibles - Net,,,,,,259.0,254.0,252.0,248.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,51.0,49.0,52.0,43.0,Balance Sheet
Restricted Cash - LT,,,,,,15.0,14.0,15.0,13.0,Balance Sheet
Other Long Term Assets,,,,,,9.0,10.0,11.0,5.0,Balance Sheet
Total Assets,,,,,,776.0,773.0,780.0,770.0,Balance Sheet
Accounts Payable,,,,,,8.0,9.0,8.0,9.0,Balance Sheet
Accrued Expenses,,,,,,39.0,50.0,42.0,37.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,37.0,32.0,25.0,34.0,Balance Sheet
Other Current Liabilities,,,,,,66.0,31.0,31.0,32.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,103.0,63.0,56.0,65.0,Balance Sheet
Total Current Liabilities,,,,,,150.0,123.0,106.0,111.0,Balance Sheet
Total Long Term Debt,,,,,,257.0,287.0,308.0,287.0,Balance Sheet
Total Debt,,,,,,257.0,287.0,308.0,287.0,Balance Sheet
Minority Interest,,,,,,85.0,84.0,84.0,89.0,Balance Sheet
"Other Liabilities, Total",,,,,,76.0,75.0,76.0,64.0,Balance Sheet
Total Liabilities,,,,,,569.0,569.0,574.0,552.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,217.0,220.0,226.0,242.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-9.0,-16.0,-20.0,-24.0,Balance Sheet
Total Equity,,,,,,208.0,204.0,206.0,218.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,776.0,773.0,780.0,770.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,22.0,22.0,22.0,23.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,10.0,10.0,10.0,10.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,32.0,32.0,32.0,33.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,73939.0,78120.0,80553.0,85250.0,Income Statement
"Cost of Revenue, Total",,,,,,16510.0,16631.0,19749.0,20477.0,Income Statement
Selling/Gen/Admin Expense,,,,,,39535.0,42213.0,40849.0,44190.0,Income Statement
Labor & Related Expense,,,,,,6624.0,6257.0,6799.0,6550.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,46159.0,48470.0,47648.0,50740.0,Income Statement
Depreciation/Amortization,,,,,,6870.0,7447.0,7506.0,7601.0,Income Statement
Unusual Expense (Income),,,,,,228.0,246.0,127.0,172.0,Income Statement
"Other Operat Expse, Total",,,,,,4927.0,11503.0,8254.0,-959.0,Income Statement
Total Operating Expense,,,,,,74694.0,84297.0,83284.0,78031.0,Income Statement
Total Operating Income,,,,,,-755.0,-6177.0,-2731.0,7219.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-3154.0,-3377.0,-3767.0,-4477.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,0.0,0.0,-991.0,Income Statement
"Other, Net",,,,,,,0.0,0.0,-991.0,Income Statement
Income Before Tax,,,,,,-3909.0,-9554.0,-6498.0,1751.0,Income Statement
Income Tax - Total,,,,,,-228.0,884.0,-1810.0,6161.0,Income Statement
Income After Tax,,,,,,-3681.0,-10438.0,-4688.0,-4410.0,Income Statement
Minority Interest,,,,,,1153.0,3065.0,960.0,937.0,Income Statement
Net Inc Before Extra Items,,,,,,-2528.0,-7373.0,-3728.0,-3473.0,Income Statement
Total Net Income,,,,,,-2528.0,-7373.0,-3728.0,-3473.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-2528.0,-7373.0,-3728.0,-3473.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-2528.0,-7373.0,-3728.0,-3473.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,22043.0,22076.0,22230.0,22650.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.11,-0.33,-0.17,-0.15,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.11,-0.33,-0.17,-0.15,Income Statement
Diluted Weighted Average Shares,,,,,,22043.0,22076.0,22230.0,22650.0,Income Statement
