,CTVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",34.62,20.13,Valuation,1.7198211624441133
Price/Sales (TTM),2.77,3.27,Valuation,0.8470948012232415
Price/Book (MRQ),1.91,5.58,Valuation,0.3422939068100358
"PEG Ratio (TTM, GAAP)",2.02,0.12,Valuation,16.833333333333336
Gross Profit Margin (TTM),0.40630000000000005,0.3453,Profitability,1.17665797856936
Operating Profit Margin (TTM),0.0898,0.0535,Profitability,1.6785046728971964
Net Profit Margin (TTM),0.0825,0.0204,Profitability,4.044117647058823
Annual Dividend Yield,0.009000000000000001,0.0188,Dividend,0.4787234042553192
Dividend Change %,0.0385,0.102,Dividend,0.3774509803921569
"Dividend Growth Rate, 3 Years",,0.06910000000000001,Dividend,
EPS Growth (MRQ),-1.3289,-0.6111,Gowth rates,2.1746031746031744
EPS Growth (TTM),-0.1863,1.725,Gowth rates,-0.10799999999999998
Revenue Growth (MRQ),-0.5558,0.212,Gowth rates,-2.621698113207547
Revenue Growth (TTM),0.11220000000000001,0.23420000000000002,Gowth rates,0.47907771135781385
Return On Equity (TTM),0.0565,0.2206,Effectiveness,0.2561196736174071
Return On Assets (TTM),0.0345,0.06420000000000001,Effectiveness,0.5373831775700935
Return On Investment (TTM),0.0437,0.08410000000000001,Effectiveness,0.5196195005945303
Revenue Per Employee (TTM),814714.0,817013.0,Effectiveness,0.9971860912861852
Total Debt/Total Capital (MRQ),0.09570000000000001,0.4105,Financial strength,0.23313032886723511
Change in Debt/Total Capital Quarter over Quarter,0.004,0.001,Financial strength,4.0
Quick Ratio (MRQ),1.08,1.18,Financial strength,0.9152542372881357
Interest Coverage (MRQ),,26.2,Financial strength,
