,CTVA
% Below High,0.030699999999999998
% Held by Institutions,0.8142
52-Wk Range,['43.74 - 68.43']
Annual Dividend $,0.6
Annual Dividend %,0.009000000000000001
Ask,67.93
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,66.36
Bid Size,100.0
Closing Price,66.33
Day Change $,0.53
Day Change %,0.008100000000000001
Day High,66.33
Day Low,65.61
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.92
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.284
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,47.4B
"P/E Ratio (TTM, GAAP)",34.62
Prev Close,65.8
Short Interest,0.0102
Today's Open,66.0
Volume,704285.0
Volume 10-day Avg,3052019.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.20192307692307687
Growth 1yr High Est,0.3181818181818181
Growth 1yr Consensus Est,0.2600524475524475
Growth 2yr Low Est,0.1809615384615384
Growth 2yr High Est,0.23667711598746077
Growth 2yr Consensus Est,0.20881932722449958
Growth 5yr Low Est,0.1809615384615384
Growth 5yr High Est,0.23667711598746077
Growth 5yr Consensus Est,0.20881932722449958
Growth 5yr Actual/Est,0.22291025039871304
Growth 3yr Historic,0.12057109557109558
Price/Earnings (TTM),34.61611
Price/Sales (TTM),2.77002
Price/Book (MRQ),1.91222
Price/Cash Flow (TTM),17.89738
5yr Low,20.38
5yr High,68.43
5yr Avg Return,0.227075
EPS Growth 5yr,0.298304
Revenue Growth 5yr,0.0241243
Dividend Growth 5yr,
Short Int Current Month,7281173.0
Short Int Prev Month,6421937.0
Short Int Pct of Float,0.010211699999999999
Days to Cover,1.77552
Float,713.0609
Shares Outstanding,714.492
Institutions Holding Shares,1563.0
FCF Growth 5yr,-0.7799889499107858
"Price/Earnings (TTM, GAAP)",34.62
"PEG Ratio (TTM, GAAP)",2.02
Gross Profit Margin (TTM),0.40630000000000005
Operating Profit Margin (TTM),0.0898
Net Profit Margin (TTM),0.0825
Annual Dividend Yield,0.009000000000000001
Dividend Change %,0.0385
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.3289
EPS Growth (TTM),-0.1863
Revenue Growth (MRQ),-0.5558
Revenue Growth (TTM),0.11220000000000001
Return On Equity (TTM),0.0565
Return On Assets (TTM),0.0345
Return On Investment (TTM),0.0437
Revenue Per Employee (TTM),814714.0
Total Debt/Total Capital (MRQ),0.09570000000000001
Change in Debt/Total Capital Quarter over Quarter,0.004
Quick Ratio (MRQ),1.08
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-05-06 00:00:00
cfra since,2022-05-05 00:00:00
ford since,2022-08-12 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2021-10-14 00:00:00
marketEdge opinion since,
