,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,32.78,40.23,49.98,68.43,,,,,
low,24.1,20.38,36.54,43.74,,,,,
change,-0.0064,0.2989,0.2164,0.3994,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,4459.0,2031.0,2401.0,2199.0,Balance Sheet
Short Term Investments,,,,,86.0,290.0,254.0,119.0,Balance Sheet
Cash and Short Term Invs,,,,,4545.0,2321.0,2655.0,2318.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,3651.0,5835.0,4690.0,3855.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-210.0,-232.0,-233.0,-213.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,3441.0,5603.0,4457.0,3642.0,Balance Sheet
Notes Recvble - Short Term,,,,,120.0,426.0,1305.0,1233.0,Balance Sheet
Other Receivables,,,,,1250.0,1246.0,1185.0,1398.0,Balance Sheet
"Total Receivables, Net",,,,,4811.0,7275.0,6947.0,6273.0,Balance Sheet
Invent. - Finished Goods,,,,,2497.0,2691.0,1722.0,2082.0,Balance Sheet
Invent. - Work In Progress,,,,,2076.0,1635.0,1793.0,2557.0,Balance Sheet
Invent. - Raw Materials,,,,,607.0,660.0,669.0,776.0,Balance Sheet
Total Inventory,,,,,5180.0,4986.0,4184.0,5415.0,Balance Sheet
"Other Curr. Assets, Total",,,,,1010.0,1296.0,978.0,1039.0,Balance Sheet
Total Current Assets,,,,,15546.0,15878.0,14764.0,15045.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,8364.0,8483.0,8532.0,8444.0,Balance Sheet
Accumulated Depreciation,,,,,-4035.0,-4150.0,-4232.0,-4259.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,4329.0,4333.0,4300.0,4185.0,Balance Sheet
"Goodwill, Net",,,,,10107.0,10109.0,9987.0,9791.0,Balance Sheet
Intangibles - Gross,,,,,12605.0,12604.0,12579.0,12526.0,Balance Sheet
Accum. Intangible Amort.,,,,,-2561.0,-2739.0,-2906.0,-3065.0,Balance Sheet
Intangibles - Net,,,,,10044.0,9865.0,9673.0,9461.0,Balance Sheet
Long Term Investments,,,,,76.0,91.0,93.0,91.0,Balance Sheet
Other Long Term Assets,,,,,1804.0,1886.0,1640.0,1671.0,Balance Sheet
Total Assets,,,,,42344.0,42633.0,40906.0,40651.0,Balance Sheet
Accounts Payable,,,,,4126.0,3685.0,3567.0,4140.0,Balance Sheet
Accrued Expenses,,,,,2068.0,2335.0,2454.0,2115.0,Balance Sheet
Notes Payable/ST Debt,,,,,16.0,984.0,684.0,1369.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,1.0,34.0,28.0,7.0,Balance Sheet
Customer Advances,,,,,3201.0,2435.0,740.0,860.0,Balance Sheet
Income Taxes Payable,,,,,146.0,180.0,383.0,227.0,Balance Sheet
Other Current Liabilities,,,,,,0.0,0.0,200.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,3347.0,2615.0,1123.0,1287.0,Balance Sheet
Total Current Liabilities,,,,,9558.0,9653.0,7856.0,8918.0,Balance Sheet
Total Long Term Debt,,,,,1100.0,1154.0,1283.0,1277.0,Balance Sheet
Total Debt,,,,,1117.0,2172.0,1995.0,2653.0,Balance Sheet
Deferred Income Tax,,,,,1220.0,1203.0,1165.0,1123.0,Balance Sheet
Minority Interest,,,,,239.0,240.0,240.0,240.0,Balance Sheet
Pension Benefits - Underfunded,,,,,3124.0,2983.0,2838.0,2628.0,Balance Sheet
Other LT Liabilities,,,,,1719.0,1704.0,1693.0,1621.0,Balance Sheet
"Other Liabilities, Total",,,,,4843.0,4687.0,4531.0,4249.0,Balance Sheet
Total Liabilities,,,,,16960.0,16937.0,15075.0,15807.0,Balance Sheet
Common Stock,,,,,7.0,7.0,7.0,7.0,Balance Sheet
Additional Paid-In Capital,,,,,27751.0,27760.0,27795.0,27815.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,524.0,750.0,1252.0,614.0,Balance Sheet
Unrealized Gain (Loss),,,,,0.0,0.0,0.0,0.0,Balance Sheet
Cum. Trans. Adjustment,,,,,-2543.0,-2452.0,-2878.0,-3411.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,-396.0,-388.0,-381.0,-268.0,Balance Sheet
Other Comprehensive Income,,,,,41.0,19.0,36.0,87.0,Balance Sheet
"Other Equity, Total",,,,,-2898.0,-2821.0,-3223.0,-3592.0,Balance Sheet
Total Equity,,,,,25384.0,25696.0,25831.0,24844.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,42344.0,42633.0,40906.0,40651.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,727.0,725.0,719.0,716.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,3479.0,4601.0,6252.0,2777.0,Income Statement
"Cost of Revenue, Total",,,,,2232.0,2724.0,3323.0,1879.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,806.0,735.0,1017.0,657.0,Income Statement
Research & Development,,,,,316.0,268.0,296.0,312.0,Income Statement
Depreciation/Amortization,,,,,179.0,179.0,179.0,178.0,Income Statement
Restructuring Charge,,,,,28.0,5.0,143.0,152.0,Income Statement
Other Unusual Expnse (In),,,,,-19.0,3.0,-4.0,-16.0,Income Statement
Unusual Expense (Income),,,,,9.0,8.0,139.0,136.0,Income Statement
Total Operating Expense,,,,,3542.0,3914.0,4954.0,3162.0,Income Statement
Total Operating Income,,,,,-63.0,687.0,1298.0,-385.0,Income Statement
