,ESTC
% Above Low,0.1699
% Held by Institutions,0.7597
52-Wk Range,['50.33 - 162.46']
Annual Dividend $,
Annual Dividend %,
Ask,75.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,51.03
Bid Size,100.0
Closing Price,58.88
Day Change $,-0.72
Day Change %,-0.0121
Day High,59.5
Day Low,58.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.55
Ex-dividend Date,No dividend
Historical Volatility,0.7709999999999999
Last (size),950.0
Last (time),5:00p ET 11/25/22
Market Cap,5.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,59.6
Short Interest,0.0684
Today's Open,59.32
Volume,366889.0
Volume 10-day Avg,1191785.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.088235294117647
Growth 2yr High Est,-3.0952380952380953
Growth 2yr Consensus Est,-2.0917366946778713
Growth 5yr Low Est,-1.088235294117647
Growth 5yr High Est,-3.0952380952380953
Growth 5yr Consensus Est,-2.0917366946778713
Growth 5yr Actual/Est,-0.00773285853931005
Growth 3yr Historic,0.4408602150537635
Price/Earnings (TTM),
Price/Sales (TTM),6.08935
Price/Book (MRQ),14.20385
Price/Cash Flow (TTM),
5yr Low,39.01
5yr High,189.84
5yr Avg Return,0.10307999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.5778585
Dividend Growth 5yr,
Short Int Current Month,5208854.0
Short Int Prev Month,5134695.0
Short Int Pct of Float,0.068383
Days to Cover,2.98141
Float,77.51556
Shares Outstanding,95.07989
Institutions Holding Shares,451.0
FCF Growth 5yr,3.5833333333333335
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7221
Operating Profit Margin (TTM),-0.2211
Net Profit Margin (TTM),-0.25989999999999996
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.050499999999999996
EPS Growth (TTM),-0.5700999999999999
Revenue Growth (MRQ),0.044800000000000006
Revenue Growth (TTM),0.3666
Return On Equity (TTM),-0.5627000000000001
Return On Assets (TTM),-0.15460000000000002
Return On Investment (TTM),-0.228
Revenue Per Employee (TTM),308717.0
Total Debt/Total Capital (MRQ),0.5902000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),-9.08
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2019-12-05 00:00:00
researchTeam since,2019-12-05 00:00:00
ford since,2021-10-22 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
