,ESTC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),6.09,9.39,Valuation,0.6485623003194888
Price/Book (MRQ),14.2,12.63,Valuation,1.1243072050673
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7221,0.7206,Profitability,1.0020815986677767
Operating Profit Margin (TTM),-0.2211,0.2172,Profitability,-1.0179558011049723
Net Profit Margin (TTM),-0.25989999999999996,0.1553,Profitability,-1.6735350933676754
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.050499999999999996,-0.0752,Gowth rates,0.6715425531914893
EPS Growth (TTM),-0.5700999999999999,-0.2824,Gowth rates,2.018767705382436
Revenue Growth (MRQ),0.044800000000000006,0.15560000000000002,Gowth rates,0.2879177377892031
Revenue Growth (TTM),0.3666,0.1906,Gowth rates,1.9233997901364113
Return On Equity (TTM),-0.5627000000000001,0.2189,Effectiveness,-2.5705801735952494
Return On Assets (TTM),-0.15460000000000002,0.10740000000000001,Effectiveness,-1.4394785847299814
Return On Investment (TTM),-0.228,0.1387,Effectiveness,-1.6438356164383563
Revenue Per Employee (TTM),308717.0,667721.0,Effectiveness,0.462344302485619
Total Debt/Total Capital (MRQ),0.5902000000000001,0.39659999999999995,Financial strength,1.48814926878467
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0004,Financial strength,-0.7499999999999999
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-9.08,0.28,Financial strength,-32.42857142857142
