,2018,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,83.84,104.1,159.95,189.84,124.25,,,,,
low,58.55,60.1,39.01,97.89,50.33,,,,,
change,0.0211,-0.0755,1.253,-0.16260000000000002,-0.5206000000000001,,,,,
Date,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash,,,,,,3.0,3.0,,,Balance Sheet
Cash & Equivalents,,,,,,876.0,864.0,861.0,849.0,Balance Sheet
Cash and Short Term Invs,,,,,,879.0,867.0,861.0,849.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,161.0,149.0,218.0,170.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-3.0,-3.0,-3.0,-2.0,Balance Sheet
"Total Receivables, Net",,,,,,158.0,146.0,215.0,168.0,Balance Sheet
Prepaid Expenses,,,,,,32.0,37.0,41.0,36.0,Balance Sheet
Restricted Cash - Current,,,,,,3.0,4.0,3.0,2.0,Balance Sheet
Other Current Assets,,,,,,38.0,39.0,44.0,45.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,41.0,43.0,46.0,47.0,Balance Sheet
Total Current Assets,,,,,,1110.0,1093.0,1164.0,1100.0,Balance Sheet
Buildings,,,,,,11.0,11.0,11.0,11.0,Balance Sheet
Machinery/Equipment,,,,,,2.0,1.0,1.0,2.0,Balance Sheet
Construction in Progress,,,,,,0.0,0.0,1.0,0.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,30.0,27.0,31.0,31.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,42.0,39.0,45.0,44.0,Balance Sheet
Accumulated Depreciation,,,,,,-11.0,-11.0,-12.0,-13.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,31.0,28.0,33.0,31.0,Balance Sheet
"Goodwill, Net",,,,,,292.0,304.0,304.0,304.0,Balance Sheet
Intangibles - Gross,,,,,,87.0,93.0,93.0,93.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-38.0,-43.0,-47.0,-51.0,Balance Sheet
Intangibles - Net,,,,,,49.0,50.0,46.0,42.0,Balance Sheet
Deferred Charges,,,,,,58.0,63.0,74.0,75.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,4.0,4.0,6.0,5.0,Balance Sheet
Other Long Term Assets,,,,,,19.0,17.0,17.0,14.0,Balance Sheet
