,SHW
% Above Low,0.2605
% Held by Institutions,0.7686
52-Wk Range,['195.24 - 354.15']
Annual Dividend $,2.4
Annual Dividend %,0.0096
Ask,246.18
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,246.05
Bid Size,100.0
Day Change $,-3.42
Day Change %,-0.0137
Day High,249.8
Day Low,245.71
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",7.39
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.35100000000000003
Last (size),100.0
Last (time),2:15p ET 11/28/22
Market Cap,63.8B
"P/E Ratio (TTM, GAAP)",33.76
Prev Close,249.52
Price,246.11
Short Interest,0.0070999999999999995
Today's Open,247.37
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,0.042944785276073594
Growth 1yr High Est,0.04634994206257215
Growth 1yr Consensus Est,0.04464736366932287
Growth 2yr Low Est,0.06970768675568384
Growth 2yr High Est,0.15994130547203922
Growth 2yr Consensus Est,0.11482449611386153
Growth 5yr Low Est,-0.09455707177618572
Growth 5yr High Est,-0.035144223309007516
Growth 5yr Consensus Est,-0.06485064754259662
Growth 5yr Actual/Est,0.1003638044642429
Growth 3yr Historic,0.03961706696081699
Price/Earnings (TTM),33.7566
Price/Sales (TTM),2.98247
Price/Book (MRQ),24.88669
Price/Cash Flow (TTM),25.76154
5yr Low,108.48
5yr High,354.15
5yr Avg Return,0.1478833333333333
EPS Growth 5yr,0.1180221
Revenue Growth 5yr,0.1096355
Dividend Growth 5yr,0.1445683
Short Int Current Month,1685268.0
Short Int Prev Month,1780486.0
Short Int Pct of Float,0.007107400000000001
Days to Cover,0.915
Float,237.2083
Shares Outstanding,259.1434
Institutions Holding Shares,1652.0
FCF Growth 5yr,-1.981399124963217
"Price/Earnings (TTM, GAAP)",33.76
"PEG Ratio (TTM, GAAP)",2.95
Gross Profit Margin (TTM),0.41380000000000006
Operating Profit Margin (TTM),0.1116
Net Profit Margin (TTM),0.0894
Annual Dividend Yield,0.0096
Dividend Change %,0.23140000000000002
"Dividend Growth Rate, 3 Years",0.2426
EPS Growth (MRQ),0.1887
EPS Growth (TTM),0.011200000000000002
Revenue Growth (MRQ),0.0298
Revenue Growth (TTM),0.10210000000000001
Return On Equity (TTM),0.7329000000000001
Return On Assets (TTM),0.0902
Return On Investment (TTM),0.1275
Revenue Per Employee (TTM),351808.0
Total Debt/Total Capital (MRQ),0.8022
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.59
Interest Coverage (MRQ),7.98
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-01-07 00:00:00
theStreet since,2022-05-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-01-31 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
