,SNV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.78,11.43,Valuation,0.7681539807524059
Price/Sales (TTM),2.97,3.3,Valuation,0.9000000000000001
Price/Book (MRQ),1.7,1.46,Valuation,1.1643835616438356
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.461,0.34240000000000004,Profitability,1.346378504672897
Net Profit Margin (TTM),0.3563,0.2812,Profitability,1.2670697012802277
Annual Dividend Yield,0.0316,0.028700000000000003,Dividend,1.1010452961672474
Dividend Change %,0.0,-0.0086,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.1362,0.0734,Dividend,1.85558583106267
EPS Growth (MRQ),0.1464,-0.0335,Gowth rates,-4.370149253731343
EPS Growth (TTM),0.0799,-0.09960000000000001,Gowth rates,-0.8022088353413653
Revenue Growth (MRQ),0.21489999999999998,0.5429,Gowth rates,0.39583717074967756
Revenue Growth (TTM),0.1024,0.2466,Gowth rates,0.41524736415247365
Return On Equity (TTM),0.1711,0.1135,Effectiveness,1.507488986784141
Return On Assets (TTM),0.013200000000000002,0.0099,Effectiveness,1.3333333333333335
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0202,0.0009,Financial strength,22.444444444444443
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
