,AMR
% Below High,0.0946
% Held by Institutions,0.7397
52-Wk Range,['43.00 - 186.98']
Annual Dividend $,1.67
Annual Dividend %,0.009899999999999999
Ask,170.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,161.0
Bid Size,100.0
Closing Price,169.3
Day Change $,3.98
Day Change %,0.0241
Day High,170.0
Day Low,166.25
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",78.07
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.7340000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",2.17
Prev Close,165.32
Short Interest,0.060899999999999996
Today's Open,166.25
Volume,87364.0
Volume 10-day Avg,265897.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4654096063192763
Growth 2yr High Est,-0.40645601273016596
Growth 2yr Consensus Est,-0.43593280952472113
Growth 5yr Low Est,-0.4654096063192763
Growth 5yr High Est,-0.40645601273016596
Growth 5yr Consensus Est,-0.43593280952472113
Growth 5yr Actual/Est,1.0037608013964205
Growth 3yr Historic,-0.0021832284660447954
Price/Earnings (TTM),2.16857
Price/Sales (TTM),0.65734
Price/Book (MRQ),2.01185
Price/Cash Flow (TTM),1.67019
5yr Low,1.93
5yr High,186.98
5yr Avg Return,0.9387166666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.117263
Dividend Growth 5yr,
Short Int Current Month,806970.0
Short Int Prev Month,933094.0
Short Int Pct of Float,0.0608701
Days to Cover,2.23046
Float,13.26896
Shares Outstanding,15.94365
Institutions Holding Shares,253.0
FCF Growth 5yr,1.4527764150002211
"Price/Earnings (TTM, GAAP)",2.17
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4559
Operating Profit Margin (TTM),0.3994
Net Profit Margin (TTM),0.3611
Annual Dividend Yield,0.0099
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5268
EPS Growth (TTM),9.5754
Revenue Growth (MRQ),-0.3492
Revenue Growth (TTM),1.6263
Return On Equity (TTM),1.8309
Return On Assets (TTM),0.7535
Return On Investment (TTM),0.8981
Revenue Per Employee (TTM),1173246.0
Total Debt/Total Capital (MRQ),0.0034000000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0099
Quick Ratio (MRQ),2.84
Interest Coverage (MRQ),47.33
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2022-04-05 00:00:00
newConstructs since,
marketEdge opinion since,
