,AMR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",2.17,8.08,Valuation,0.2685643564356436
Price/Sales (TTM),0.66,26.91,Valuation,0.02452619843924192
Price/Book (MRQ),2.01,2.97,Valuation,0.6767676767676767
"PEG Ratio (TTM, GAAP)",,0.16,Valuation,
Gross Profit Margin (TTM),0.4559,0.375,Profitability,1.2157333333333333
Operating Profit Margin (TTM),0.3994,0.1536,Profitability,2.600260416666667
Net Profit Margin (TTM),0.3611,-0.0743,Profitability,-4.860026917900403
Annual Dividend Yield,0.0099,0.0221,Dividend,0.4479638009049774
Dividend Change %,,1.2769,Dividend,
"Dividend Growth Rate, 3 Years",,0.1663,Dividend,
EPS Growth (MRQ),-0.5268,2.9959,Gowth rates,-0.17584031509729967
EPS Growth (TTM),9.5754,0.5015,Gowth rates,19.093519441674978
Revenue Growth (MRQ),-0.3492,-0.0395,Gowth rates,8.840506329113925
Revenue Growth (TTM),1.6263,0.19710000000000003,Gowth rates,8.251141552511415
Return On Equity (TTM),1.8309,0.2866,Effectiveness,6.38834612700628
Return On Assets (TTM),0.7535,0.08710000000000001,Effectiveness,8.650975889781858
Return On Investment (TTM),0.8981,0.1716,Effectiveness,5.233682983682984
Revenue Per Employee (TTM),1173246.0,1553496.0,Effectiveness,0.7552294952803226
Total Debt/Total Capital (MRQ),0.0034000000000000002,0.3055,Financial strength,0.011129296235679216
Change in Debt/Total Capital Quarter over Quarter,-0.0099,0.0382,Financial strength,-0.2591623036649215
Quick Ratio (MRQ),2.84,2.21,Financial strength,1.2850678733031673
Interest Coverage (MRQ),47.33,28.97,Financial strength,1.6337590610976873
