,BILL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),17.03,9.39,Valuation,1.8136315228966986
Price/Book (MRQ),3.17,12.63,Valuation,0.25098970704671414
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7267,0.7206,Profitability,1.0084651679156258
Operating Profit Margin (TTM),-0.43829999999999997,0.2172,Profitability,-2.0179558011049723
Net Profit Margin (TTM),-0.4429,0.1553,Profitability,-2.851899549259498
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.0447,-0.0752,Gowth rates,-0.5944148936170212
EPS Growth (TTM),-0.7914,-0.2824,Gowth rates,2.8024079320113318
Revenue Growth (MRQ),0.1484,0.15560000000000002,Gowth rates,0.9537275064267351
Revenue Growth (TTM),1.4276,0.1906,Gowth rates,7.490031479538301
Return On Equity (TTM),-0.0818,0.2189,Effectiveness,-0.37368661489264504
Return On Assets (TTM),-0.0375,0.10740000000000001,Effectiveness,-0.3491620111731843
Return On Investment (TTM),-0.0618,0.1387,Effectiveness,-0.4455659697188176
Revenue Per Employee (TTM),332100.0,667721.0,Effectiveness,0.49736341975166276
Total Debt/Total Capital (MRQ),0.3048,0.39659999999999995,Financial strength,0.768532526475038
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0004,Financial strength,-1.7500000000000002
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
