,BILL
% Above Low,0.35159999999999997
% Held by Institutions,0.966
52-Wk Range,['89.87 - 308.20']
Annual Dividend $,
Annual Dividend %,
Ask,133.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,119.02
Bid Size,100.0
Closing Price,121.47
Day Change $,0.0
Day Change %,0.0
Day High,121.76
Day Low,118.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.21
Ex-dividend Date,No dividend
Historical Volatility,0.9440000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,12.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,121.47
Short Interest,0.0658
Today's Open,120.37
Volume,372534.0
Volume 10-day Avg,2006664.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-4.357142857142857
Growth 1yr High Est,-8.181818181818183
Growth 1yr Consensus Est,-6.2694805194805205
Growth 2yr Low Est,-2.1892097264437687
Growth 2yr High Est,-3.5972382048331424
Growth 2yr Consensus Est,-2.8932239656384553
Growth 5yr Low Est,-1.4594731509625125
Growth 5yr High Est,-2.398158803222095
Growth 5yr Consensus Est,-1.928815977092304
Growth 5yr Actual/Est,-0.5532443240454076
Growth 3yr Historic,0.1764705882352941
Price/Earnings (TTM),
Price/Sales (TTM),17.03431
Price/Book (MRQ),3.17014
Price/Cash Flow (TTM),
5yr Low,23.61
5yr High,348.5
5yr Avg Return,0.72095
Short Int Current Month,6585548.0
Short Int Prev Month,5564374.0
Short Int Pct of Float,0.0658176
Days to Cover,1.9614
Float,101.3581
Shares Outstanding,105.6716
Institutions Holding Shares,665.0
FCF Growth 5yr,-0.36668428603790687
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7267
Operating Profit Margin (TTM),-0.43829999999999997
Net Profit Margin (TTM),-0.4429
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0447
EPS Growth (TTM),-0.7914
Revenue Growth (MRQ),0.1484
Revenue Growth (TTM),1.4276
Return On Equity (TTM),-0.0818
Return On Assets (TTM),-0.0375
Return On Investment (TTM),-0.0618
Revenue Per Employee (TTM),332100.0
Total Debt/Total Capital (MRQ),0.3048
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-02-16 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-02-16 00:00:00
marketEdge opinion since,
