,PRI
% Below High,0.0855
% Held by Institutions,0.927
52-Wk Range,['110.22 - 159.47']
Annual Dividend $,2.2
Annual Dividend %,0.0151
Ask,145.84
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,145.57
Bid Size,200.0
Day Change $,-0.065
Day Change %,-0.0004
Day High,146.81
Day Low,145.05
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",7.21
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.326
Last (size),1.0
Last (time),11:29a ET 11/28/22
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.23
Prev Close,145.9
Price,145.84
Short Interest,0.01
Today's Open,145.35
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.08967851099830804
Growth 1yr High Est,-0.08789386401326704
Growth 1yr Consensus Est,-0.08878618750578754
Growth 2yr Low Est,0.03136892293950777
Growth 2yr High Est,0.09241670435700283
Growth 2yr Consensus Est,0.0618928136482553
Growth 5yr Low Est,0.11256472865247441
Growth 5yr High Est,0.14650521855527612
Growth 5yr Consensus Est,0.12953497360387528
Growth 5yr Actual/Est,0.1214239407703149
Growth 3yr Historic,0.08688991207151675
Price/Earnings (TTM),20.23374
Price/Sales (TTM),1.95294
Price/Book (MRQ),3.33477
Price/Cash Flow (TTM),17.56895
5yr Low,61.2
5yr High,179.51
5yr Avg Return,0.0688
EPS Growth 5yr,0.1538355
Revenue Growth 5yr,0.1222086
Dividend Growth 5yr,0.2184619
Short Int Current Month,366068.0
Short Int Prev Month,456294.0
Short Int Pct of Float,0.0099875
Days to Cover,2.71733
Float,36.64747
Shares Outstanding,36.89817
Institutions Holding Shares,392.0
FCF Growth 5yr,0.18213006542243368
"Price/Earnings (TTM, GAAP)",20.23
"PEG Ratio (TTM, GAAP)",1.94
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.153
Net Profit Margin (TTM),0.09820000000000001
Annual Dividend Yield,0.0151
Dividend Change %,0.17500000000000002
"Dividend Growth Rate, 3 Years",0.23420000000000002
EPS Growth (MRQ),-0.5265
EPS Growth (TTM),-0.3457
Revenue Growth (MRQ),0.0069
Revenue Growth (TTM),0.0665
Return On Equity (TTM),0.1478
Return On Assets (TTM),0.0175
Return On Investment (TTM),
Revenue Per Employee (TTM),953503.0
Total Debt/Total Capital (MRQ),0.5557
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),35.82
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2020-05-26 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-10-22 00:00:00
cfra since,
marketEdge opinion since,
