,PMVP
% Above Low,0.11460000000000001
% Held by Institutions,1.2517
52-Wk Range,['8.99 - 25.10']
Annual Dividend $,
Annual Dividend %,
Ask,10.08
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,10.02
Bid Size,100.0
Day Change $,-0.22
Day Change %,-0.0215
Day High,10.28
Day Low,10.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.59
Ex-dividend Date,No dividend
Historical Volatility,0.873
Last (size),100.0
Last (time),11:06a ET 11/28/22
Market Cap,457.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.24
Price,10.02
Short Interest,0.2339
Today's Open,10.11
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.32799999999999985
Growth 1yr High Est,0.3760683760683763
Growth 1yr Consensus Est,0.35203418803418807
Growth 2yr Low Est,0.31761445783132525
Growth 2yr High Est,0.18803418803418814
Growth 2yr Consensus Est,0.2528243229327567
Growth 5yr Low Est,0.31761445783132525
Growth 5yr High Est,0.18803418803418814
Growth 5yr Consensus Est,0.2528243229327567
Growth 5yr Actual/Est,-0.0008299457994580169
Growth 3yr Historic,-0.15555555555555556
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.78871
Price/Cash Flow (TTM),
5yr Low,8.99
5yr High,63.22
5yr Avg Return,-0.14313333333333333
Short Int Current Month,10457414.0
Short Int Prev Month,11538253.0
Short Int Pct of Float,0.2339049
Days to Cover,15.27455
Float,44.71998
Shares Outstanding,45.66543
Institutions Holding Shares,183.0
FCF Growth 5yr,0.2763760052397202
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0519
EPS Growth (TTM),-0.4324
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.2468
Return On Assets (TTM),-0.2299
Return On Investment (TTM),-0.23760000000000003
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
