,SWKS
% Above Low,0.1943
% Held by Institutions,0.7662
52-Wk Range,['76.16 - 164.47']
Annual Dividend $,2.48
Annual Dividend %,0.026699999999999998
Ask,90.98
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.2
Bid,90.94
Bid Size,100.0
Day Change $,-1.96
Day Change %,-0.021
Day High,92.56
Day Low,90.55
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",7.8
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.43100000000000005
Last (size),200.0
Last (time),3:45p ET 11/28/22
Market Cap,14.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.92
Prev Close,92.91
Price,90.96
Short Interest,0.0254
Today's Open,91.55
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-0.1887966804979253
Growth 1yr High Est,0.022381378692927445
Growth 1yr Consensus Est,-0.08320765090249893
Growth 2yr Low Est,-0.001687342806507508
Growth 2yr High Est,0.0978807068595986
Growth 2yr Consensus Est,0.048096682026545545
Growth 5yr Low Est,-0.023690981600211953
Growth 5yr High Est,0.08551338038819711
Growth 5yr Consensus Est,0.03091119939399258
Growth 5yr Actual/Est,0.19697570288064256
Growth 3yr Historic,0.19584090732540982
Price/Earnings (TTM),11.91666
Price/Sales (TTM),2.71271
Price/Book (MRQ),2.72155
Price/Cash Flow (TTM),7.57165
5yr Low,60.12
5yr High,204.0
5yr Avg Return,0.04445000000000001
EPS Growth 5yr,0.07613260000000001
Revenue Growth 5yr,0.08480420000000001
Dividend Growth 5yr,0.14671099999999998
Short Int Current Month,4058910.0
Short Int Prev Month,3328882.0
Short Int Pct of Float,0.025449700000000002
Days to Cover,1.74535
Float,159.576
Shares Outstanding,160.1611
Institutions Holding Shares,1156.0
FCF Growth 5yr,0.2548226861718456
"Price/Earnings (TTM, GAAP)",11.92
"PEG Ratio (TTM, GAAP)",1.23
Gross Profit Margin (TTM),0.4747
Operating Profit Margin (TTM),0.2784
Net Profit Margin (TTM),0.2325
Annual Dividend Yield,0.0267
Dividend Change %,0.1165
"Dividend Growth Rate, 3 Years",0.1333
EPS Growth (MRQ),0.1348
EPS Growth (TTM),-0.1309
Revenue Growth (MRQ),0.1414
Revenue Growth (TTM),0.0737
Return On Equity (TTM),0.23690000000000003
Return On Assets (TTM),0.146
Return On Investment (TTM),0.1637
Revenue Per Employee (TTM),491973.0
Total Debt/Total Capital (MRQ),0.2859
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),1.64
Interest Coverage (MRQ),28.64
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-07-05 00:00:00
theStreet since,2022-06-22 00:00:00
cfra since,2021-07-30 00:00:00
ford since,2021-11-05 00:00:00
marketEdge opinion since,
