,SAGE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),347.81,45.03,Valuation,7.7239618032422825
Price/Book (MRQ),1.63,12.61,Valuation,0.12926249008723234
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8829000000000001,0.5874,Profitability,1.5030643513789583
Operating Profit Margin (TTM),-80.2248,-4.7459,Profitability,16.904022419351442
Net Profit Margin (TTM),-78.95270000000001,-4.5467,Profitability,17.36483603492643
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.08470000000000001,-0.0014000000000000002,Gowth rates,60.5
EPS Growth (TTM),-1.7396,0.027200000000000002,Gowth rates,-63.955882352941174
Revenue Growth (MRQ),0.1586,1.3963999999999999,Gowth rates,0.11357777141220281
Revenue Growth (TTM),-0.9942000000000001,0.9747,Gowth rates,-1.0200061557402278
Return On Equity (TTM),-0.3174,0.1967,Effectiveness,-1.6136248093543466
Return On Assets (TTM),-0.299,0.0016,Effectiveness,-186.87499999999997
Return On Investment (TTM),-0.3156,0.0219,Effectiveness,-14.41095890410959
Revenue Per Employee (TTM),13724.0,1476201.0,Effectiveness,0.009296836948355949
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
