,DNOW
% Below High,0.07919999999999999
% Held by Institutions,0.9662999999999999
52-Wk Range,['7.66 - 13.51']
Annual Dividend $,
Annual Dividend %,
Ask,20.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,5.0
Bid Size,100.0
Closing Price,12.44
Day Change $,-0.07
Day Change %,-0.005600000000000001
Day High,12.62
Day Low,12.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.98
Ex-dividend Date,No dividend
Historical Volatility,0.46
Last (size),52.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.76
Prev Close,12.51
Short Interest,0.0167
Today's Open,12.49
Volume,128558.0
Volume 10-day Avg,480062.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,43.5
Growth 1yr High Est,14.666666666666666
Growth 1yr Consensus Est,29.083333333333332
Growth 2yr Low Est,21.74438202247191
Growth 2yr High Est,7.429078014184397
Growth 2yr Consensus Est,14.586730018328154
Growth 5yr Low Est,14.152664938058196
Growth 5yr High Est,4.586598457543697
Growth 5yr Consensus Est,9.369631697800946
Growth 5yr Actual/Est,3.1017200191113234
Growth 3yr Historic,-1.225752508361204
Price/Earnings (TTM),12.75884
Price/Sales (TTM),0.6798
Price/Book (MRQ),1.71182
Price/Cash Flow (TTM),10.73336
5yr Low,4.03
5yr High,18.56
5yr Avg Return,0.06563333333333332
EPS Growth 5yr,
Revenue Growth 5yr,-0.049808500000000006
Dividend Growth 5yr,
Short Int Current Month,1815218.0
Short Int Prev Month,2109437.0
Short Int Pct of Float,0.0166612
Days to Cover,2.39205
Float,108.9487
Shares Outstanding,110.4398
Institutions Holding Shares,324.0
FCF Growth 5yr,-0.3536735778841042
"Price/Earnings (TTM, GAAP)",12.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.23500000000000001
Operating Profit Margin (TTM),0.051
Net Profit Margin (TTM),0.053899999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5385
EPS Growth (TTM),3.0852999999999997
Revenue Growth (MRQ),0.0705
Revenue Growth (TTM),0.33049999999999996
Return On Equity (TTM),0.1437
Return On Assets (TTM),0.09140000000000001
Return On Investment (TTM),0.1406
Revenue Per Employee (TTM),898222.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.51
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-12-07 00:00:00
