,CTAS
% Below High,0.011200000000000002
% Held by Institutions,0.6365999999999999
52-Wk Range,['343.86 - 461.44']
Annual Dividend $,4.6
Annual Dividend %,0.0101
Ask,500.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,456.09
Bid Size,100.0
Closing Price,456.27
Day Change $,0.87
Day Change %,0.0019
Day High,458.92
Day Low,454.9
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",11.95
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.281
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,46.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",38.19
Prev Close,455.4
Short Interest,0.0147
Today's Open,457.73
Volume,113283.0
Volume 10-day Avg,335897.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-21 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.12964641885766115
Growth 1yr High Est,0.10189982728842839
Growth 1yr Consensus Est,0.11577312307304477
Growth 2yr Low Est,0.10174134747056407
Growth 2yr High Est,0.1159969355877879
Growth 2yr Consensus Est,0.10886914152917598
Growth 5yr Low Est,0.146043932384056
Growth 5yr High Est,0.15421392247970528
Growth 5yr Consensus Est,0.15012892743188064
Growth 5yr Actual/Est,0.1466756388082976
Growth 3yr Historic,0.1000835075331381
Price/Earnings (TTM),38.18878
Price/Sales (TTM),5.70314
Price/Book (MRQ),14.34417
Price/Cash Flow (TTM),27.94347
5yr Low,147.38
5yr High,461.44
5yr Avg Return,0.22316666666666665
EPS Growth 5yr,0.22835270000000002
Revenue Growth 5yr,0.08090059999999999
Dividend Growth 5yr,0.22036619999999998
Short Int Current Month,1263709.0
Short Int Prev Month,1164915.0
Short Int Pct of Float,0.0146517
Days to Cover,2.74527
Float,86.25423
Shares Outstanding,101.5453
Institutions Holding Shares,1237.0
FCF Growth 5yr,0.14945151520165387
"Price/Earnings (TTM, GAAP)",38.19
"PEG Ratio (TTM, GAAP)",3.38
Gross Profit Margin (TTM),0.4625
Operating Profit Margin (TTM),0.2011
Net Profit Margin (TTM),0.15460000000000002
Annual Dividend Yield,0.0101
Dividend Change %,-0.1549
"Dividend Growth Rate, 3 Years",0.2065
EPS Growth (MRQ),0.2073
EPS Growth (TTM),0.1301
Revenue Growth (MRQ),0.0442
Revenue Growth (TTM),0.11800000000000001
Return On Equity (TTM),0.3824
Return On Assets (TTM),0.1559
Return On Investment (TTM),0.20510000000000003
Revenue Per Employee (TTM),188929.0
Total Debt/Total Capital (MRQ),0.48090000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),1.42
Interest Coverage (MRQ),15.97
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-03-23 00:00:00
cfra since,2022-03-23 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2010-08-20 00:00:00
