,CTAS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",38.19,49.52,Valuation,0.7712035541195476
Price/Sales (TTM),5.7,4.95,Valuation,1.1515151515151516
Price/Book (MRQ),14.34,8.39,Valuation,1.709177592371871
"PEG Ratio (TTM, GAAP)",3.38,29.16,Valuation,0.11591220850480109
Gross Profit Margin (TTM),0.4625,0.3995,Profitability,1.1576971214017522
Operating Profit Margin (TTM),0.2011,-0.031400000000000004,Profitability,-6.404458598726114
Net Profit Margin (TTM),0.15460000000000002,-0.042300000000000004,Profitability,-3.6548463356973997
Annual Dividend Yield,0.0101,0.011000000000000001,Dividend,0.9181818181818181
Dividend Change %,-0.1549,0.0031,Dividend,-49.96774193548388
"Dividend Growth Rate, 3 Years",0.2065,0.076,Dividend,2.7171052631578947
EPS Growth (MRQ),0.2073,0.2798,Gowth rates,0.7408863473909937
EPS Growth (TTM),0.1301,0.017,Gowth rates,7.652941176470588
Revenue Growth (MRQ),0.0442,6.526000000000001,Gowth rates,0.006772908366533864
Revenue Growth (TTM),0.11800000000000001,0.4152,Gowth rates,0.28420038535645475
Return On Equity (TTM),0.3824,0.24,Effectiveness,1.5933333333333335
Return On Assets (TTM),0.1559,0.08750000000000001,Effectiveness,1.7817142857142856
Return On Investment (TTM),0.20510000000000003,0.11080000000000001,Effectiveness,1.8510830324909748
Revenue Per Employee (TTM),188929.0,300327.0,Effectiveness,0.6290776387071425
Total Debt/Total Capital (MRQ),0.48090000000000005,0.4451,Financial strength,1.080431363738486
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0070999999999999995,Financial strength,0.1267605633802817
Quick Ratio (MRQ),1.42,1.37,Financial strength,1.0364963503649633
Interest Coverage (MRQ),15.97,18.65,Financial strength,0.8563002680965148
