,AES
% Below High,0.017
% Held by Institutions,0.9548000000000001
52-Wk Range,['18.62 - 29.11']
Annual Dividend $,0.632
Annual Dividend %,0.022099999999999998
Ask,31.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,27.97
Bid Size,100.0
Closing Price,28.61
Day Change $,0.13
Day Change %,0.0046
Day High,29.11
Day Low,28.56
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",-0.63
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.354
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,19.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,28.48
Short Interest,0.0183
Today's Open,28.71
Volume,1896615.0
Volume 10-day Avg,3968624.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.07333333333333347
Growth 1yr High Est,0.0714285714285714
Growth 1yr Consensus Est,0.07238095238095243
Growth 2yr Low Est,0.06461697722567294
Growth 2yr High Est,0.08116883116883122
Growth 2yr Consensus Est,0.07289290419725208
Growth 5yr Low Est,0.06748149802945208
Growth 5yr High Est,0.07274058791250176
Growth 5yr Consensus Est,0.07011104297097692
Growth 5yr Actual/Est,0.06662429627392247
Growth 3yr Historic,0.02859477124183002
Price/Earnings (TTM),
Price/Sales (TTM),1.55026
Price/Book (MRQ),7.43292
Price/Cash Flow (TTM),69.49107
5yr Low,8.11
5yr High,29.07
5yr Avg Return,0.1845
EPS Growth 5yr,
Revenue Growth 5yr,0.016196699999999998
Dividend Growth 5yr,0.0647037
Short Int Current Month,12200840.0
Short Int Prev Month,15214008.0
Short Int Pct of Float,0.018332
Days to Cover,2.74478
Float,665.7032
Shares Outstanding,667.9498
Institutions Holding Shares,853.0
FCF Growth 5yr,0.9826921529900755
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2064
Operating Profit Margin (TTM),-0.0038
Net Profit Margin (TTM),-0.0638
Annual Dividend Yield,0.0221
Dividend Change %,0.050199999999999995
"Dividend Growth Rate, 3 Years",0.05
EPS Growth (MRQ),3.2097
EPS Growth (TTM),-1.8281
Revenue Growth (MRQ),0.1784
Revenue Growth (TTM),0.1277
Total Debt/Total Capital (MRQ),0.7692
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),1.12
Interest Coverage (MRQ),4.99
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-08-05 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-11-07 00:00:00
