,AES
Price/Earnings (TTM),
Price/Sales (TTM),1.55026
Price/Book (MRQ),7.43292
Price/Cash Flow (TTM),69.49107
5yr Low,8.11
5yr High,29.07
5yr Avg Return,0.1845
EPS Growth 5yr,
Revenue Growth 5yr,0.016196699999999998
Dividend Growth 5yr,0.0647037
Short Int Current Month,12200840.0
Short Int Prev Month,15214008.0
Short Int Pct of Float,0.018332
Days to Cover,2.74478
Float,665.7032
Shares Outstanding,667.9498
Institutions Holding Shares,853.0
% Held by Institutions,0.95478
FCF Growth 5yr,0.9826921529900755
