,SGRY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),1.31,1.32,Valuation,0.9924242424242424
Price/Book (MRQ),2.17,4.31,Valuation,0.5034802784222738
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.2544,0.1318,Profitability,1.930197268588771
Operating Profit Margin (TTM),0.14980000000000002,0.0458,Profitability,3.270742358078603
Net Profit Margin (TTM),0.04360000000000001,0.0242,Profitability,1.801652892561984
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.3586,-0.1478,Gowth rates,2.4262516914749663
EPS Growth (TTM),0.736,-1.101,Gowth rates,-0.6684831970935513
Revenue Growth (MRQ),0.0084,0.0931,Gowth rates,0.09022556390977443
Revenue Growth (TTM),0.1291,0.1191,Gowth rates,1.0839630562552476
Return On Equity (TTM),-0.032400000000000005,7.2022,Effectiveness,-0.004498625420010552
Return On Assets (TTM),0.0175,0.0403,Effectiveness,0.43424317617866004
Return On Investment (TTM),0.024700000000000003,0.016,Effectiveness,1.5437500000000002
Revenue Per Employee (TTM),294265.0,1375304.0,Effectiveness,0.2139636036832584
Total Debt/Total Capital (MRQ),0.5684,0.4855,Financial strength,1.1707518022657055
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0015,Financial strength,-0.19999999999999998
Quick Ratio (MRQ),1.07,0.31,Financial strength,3.4516129032258065
Interest Coverage (MRQ),1.52,9.55,Financial strength,0.15916230366492146
