,NCNO
% Above Low,0.1485
% Held by Institutions,0.6082
52-Wk Range,['22.97 - 63.00']
Annual Dividend $,
Annual Dividend %,
Ask,27.5
Ask Size,3000.0
B/A Ratio,0.03333333333333333
B/A Size,100x3000
Beta,
Bid,25.0
Bid Size,100.0
Closing Price,26.38
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.74
Ex-dividend Date,No dividend
Historical Volatility,0.7640000000000001
Last (size),38.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,26.38
Short Interest,0.049699999999999994
Today's Open,
Volume,201631.0
Volume 10-day Avg,642682.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.2962962962962963
Growth 1yr High Est,-0.1578947368421053
Growth 1yr Consensus Est,-0.2270955165692008
Growth 2yr Low Est,-0.4902534113060429
Growth 2yr High Est,-1.0164473684210527
Growth 2yr Consensus Est,-0.7533503898635477
Growth 5yr Low Est,-0.4902534113060429
Growth 5yr High Est,-1.0164473684210527
Growth 5yr Consensus Est,-0.7533503898635477
Growth 5yr Actual/Est,-0.2978835978835979
Growth 3yr Historic,0.14285714285714288
Price/Earnings (TTM),
Price/Sales (TTM),8.63044
Price/Book (MRQ),2.80253
Price/Cash Flow (TTM),
5yr Low,22.97
5yr High,103.95
5yr Avg Return,-0.24936666666666668
Short Int Current Month,5029882.0
Short Int Prev Month,5370924.0
Short Int Pct of Float,0.0496666
Days to Cover,5.66883
Float,108.9814
Shares Outstanding,110.8507
Institutions Holding Shares,272.0
FCF Growth 5yr,3.439360433866307
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5866
Operating Profit Margin (TTM),-0.2802
Net Profit Margin (TTM),-0.2293
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.11539999999999999
EPS Growth (TTM),-0.39049999999999996
Revenue Growth (MRQ),0.0575
Revenue Growth (TTM),0.4136
Return On Equity (TTM),-0.1077
Return On Assets (TTM),-0.0816
Return On Investment (TTM),-0.1002
Revenue Per Employee (TTM),201564.0
Total Debt/Total Capital (MRQ),0.0313
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),-37.16
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-09-02 00:00:00
theStreet since,2021-09-02 00:00:00
cfra since,2021-07-01 00:00:00
ford since,2020-10-02 00:00:00
newConstructs since,
marketEdge opinion since,
