,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,103.95,86.48,56.38,,,,,
low,66.82,46.94,22.97,,,,,
change,0.0199,-0.24850000000000003,-0.5195000000000001,,,,,
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,52.0,77.0,67.0,74.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,33.0,74.0,72.0,67.0,Balance Sheet
Prov. for Doubtful Accts,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,,38.0,81.0,80.0,75.0,Balance Sheet
Other Receivables,,,,1.0,1.0,1.0,2.0,Balance Sheet
"Total Receivables, Net",,,,39.0,82.0,81.0,76.0,Balance Sheet
Prepaid Expenses,,,,12.0,13.0,14.0,14.0,Balance Sheet
"Other Curr. Assets, Total",,,,330.0,11.0,12.0,13.0,Balance Sheet
Total Current Assets,,,,432.0,184.0,173.0,177.0,Balance Sheet
Buildings,,,,13.0,14.0,14.0,14.0,Balance Sheet
Land/Improvements,,,,34.0,34.0,34.0,34.0,Balance Sheet
Machinery/Equipment,,,,6.0,7.0,7.0,8.0,Balance Sheet
Construction in Progress,,,,7.0,13.0,22.0,27.0,Balance Sheet
Other Prop./Plant/Equip.,,,,17.0,21.0,20.0,19.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,78.0,89.0,97.0,103.0,Balance Sheet
Accumulated Depreciation,,,,-13.0,-15.0,-17.0,-18.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,64.0,74.0,80.0,85.0,Balance Sheet
"Goodwill, Net",,,,57.0,841.0,842.0,841.0,Balance Sheet
Intangibles - Gross,,,,28.0,190.0,190.0,190.0,Balance Sheet
Accum. Intangible Amort.,,,,-7.0,-10.0,-17.0,-24.0,Balance Sheet
Intangibles - Net,,,,21.0,180.0,173.0,166.0,Balance Sheet
Long Term Investments,,,,,4.0,4.0,4.0,Balance Sheet
Note Rcvble - Long Term,,,,11.0,16.0,16.0,16.0,Balance Sheet
Other Long Term Assets,,,,1.0,1.0,8.0,7.0,Balance Sheet
Total Assets,,,,587.0,1301.0,1297.0,1296.0,Balance Sheet
Accounts Payable,,,,11.0,11.0,9.0,9.0,Balance Sheet
Accrued Expenses,,,,10.0,40.0,29.0,29.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,1.0,1.0,1.0,1.0,Balance Sheet
Customer Advances,,,,87.0,123.0,144.0,152.0,Balance Sheet
Other Current Liabilities,,,,11.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,98.0,123.0,144.0,152.0,Balance Sheet
Total Current Liabilities,,,,119.0,174.0,183.0,191.0,Balance Sheet
Total Long Term Debt,,,,33.0,33.0,33.0,33.0,Balance Sheet
Total Debt,,,,34.0,34.0,34.0,34.0,Balance Sheet
Deferred Income Tax,,,,1.0,2.0,2.0,2.0,Balance Sheet
Minority Interest,,,,2.0,3.0,3.0,3.0,Balance Sheet
"Other Liabilities, Total",,,,15.0,21.0,24.0,25.0,Balance Sheet
Total Liabilities,,,,171.0,233.0,245.0,255.0,Balance Sheet
