,AMKR
% Below High,0.061900000000000004
% Held by Institutions,0.38799999999999996
52-Wk Range,['14.89 - 29.10']
Annual Dividend $,0.3
Annual Dividend %,0.011000000000000001
Ask,27.75
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.6
Bid,26.75
Bid Size,100.0
Closing Price,27.3
Day Change $,-0.45
Day Change %,-0.016200000000000003
Day High,27.69
Day Low,27.28
Dividend Pay Date,2022-12-27 00:00:00
"EPS (TTM, GAAP)",3.33
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.53
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,6.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.21
Prev Close,27.75
Short Interest,0.0576
Today's Open,27.55
Volume,517405.0
Volume 10-day Avg,1326034.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.13375796178343946
Growth 2yr High Est,-0.07936507936507942
Growth 2yr Consensus Est,-0.10656152057425944
Growth 5yr Low Est,-0.13375796178343946
Growth 5yr High Est,-0.07936507936507942
Growth 5yr Consensus Est,-0.10656152057425944
Growth 5yr Actual/Est,0.6927398989898991
Growth 3yr Historic,0.6714285714285715
Price/Earnings (TTM),8.20981
Price/Sales (TTM),0.96784
Price/Book (MRQ),1.91645
Price/Cash Flow (TTM),4.71395
5yr Low,5.4
5yr High,29.5
5yr Avg Return,0.2349333333333333
EPS Growth 5yr,0.28829730000000003
Revenue Growth 5yr,0.0934
Dividend Growth 5yr,
Short Int Current Month,4715802.0
Short Int Prev Month,4850608.0
Short Int Pct of Float,0.057558
Days to Cover,3.48148
Float,101.4277
Shares Outstanding,244.9747
Institutions Holding Shares,365.0
FCF Growth 5yr,4.009186257070974
"Price/Earnings (TTM, GAAP)",8.21
"PEG Ratio (TTM, GAAP)",1.1
Gross Profit Margin (TTM),0.19649999999999998
Operating Profit Margin (TTM),0.13369999999999999
Net Profit Margin (TTM),0.1187
Annual Dividend Yield,0.011000000000000001
Dividend Change %,3.25
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.4506000000000001
EPS Growth (TTM),0.4731
Revenue Growth (MRQ),0.3846
Revenue Growth (TTM),0.1945
Return On Equity (TTM),0.2631
Return On Assets (TTM),0.1316
Return On Investment (TTM),0.18489999999999998
Revenue Per Employee (TTM),227303.0
Total Debt/Total Capital (MRQ),0.2511
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.42
Interest Coverage (MRQ),32.47
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-10-28 00:00:00
cfra since,2021-10-26 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
marketEdge since,2020-06-18 00:00:00
