,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,11.57,11.68,15.25,15.8,29.5,29.1,,,,,
low,9.92,5.72,6.29,5.4,14.82,14.89,,,,,
change,-0.1223,-0.35369999999999996,1.0155,0.145,0.6331,0.092,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,827.0,855.0,734.0,624.0,Balance Sheet
Short Term Investments,,,,,,,252.0,307.0,375.0,308.0,Balance Sheet
Cash and Short Term Invs,,,,,,,1078.0,1162.0,1109.0,932.0,Balance Sheet
"Total Receivables, Net",,,,,,,1259.0,1201.0,1169.0,1551.0,Balance Sheet
Total Inventory,,,,,,,485.0,516.0,637.0,669.0,Balance Sheet
Restricted Cash - Current,,,,,,,1.0,1.0,0.0,0.0,Balance Sheet
Other Current Assets,,,,,,,34.0,60.0,49.0,49.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,35.0,60.0,49.0,49.0,Balance Sheet
Total Current Assets,,,,,,,2857.0,2940.0,2964.0,3201.0,Balance Sheet
Buildings,,,,,,,1712.0,1745.0,1748.0,1748.0,Balance Sheet
Land/Improvements,,,,,,,218.0,217.0,214.0,212.0,Balance Sheet
Machinery/Equipment,,,,,,,6510.0,6666.0,6808.0,6900.0,Balance Sheet
Construction in Progress,,,,,,,75.0,69.0,112.0,119.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,287.0,314.0,329.0,351.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,8801.0,9010.0,9211.0,9331.0,Balance Sheet
Accumulated Depreciation,,,,,,,-5771.0,-5890.0,-5982.0,-6075.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,3031.0,3120.0,3229.0,3256.0,Balance Sheet
"Goodwill, Net",,,,,,,25.0,23.0,21.0,19.0,Balance Sheet
Other Long Term Assets,,,,,,,123.0,140.0,174.0,214.0,Balance Sheet
Total Assets,,,,,,,6039.0,6226.0,6391.0,6694.0,Balance Sheet
Accounts Payable,,,,,,,829.0,753.0,859.0,928.0,Balance Sheet
Accrued Expenses,,,,,,,300.0,249.0,268.0,257.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,184.0,191.0,171.0,178.0,Balance Sheet
Customer Advances,,,,,,,118.0,113.0,92.0,81.0,Balance Sheet
Income Taxes Payable,,,,,,,39.0,49.0,49.0,57.0,Balance Sheet
Other Payables,,,,,,,211.0,268.0,344.0,288.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,368.0,429.0,486.0,426.0,Balance Sheet
Total Current Liabilities,,,,,,,1680.0,1623.0,1785.0,1789.0,Balance Sheet
Total Long Term Debt,,,,,,,985.0,1087.0,981.0,1002.0,Balance Sheet
Total Debt,,,,,,,1169.0,1279.0,1152.0,1180.0,Balance Sheet
Minority Interest,,,,,,,30.0,31.0,31.0,31.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,120.0,116.0,110.0,104.0,Balance Sheet
