,BHG
% Above Low,0.2175
% Held by Institutions,0.9426000000000001
52-Wk Range,['0.80 - 4.66']
Annual Dividend $,
Annual Dividend %,
Ask,0.9785
Ask Size,2900.0
B/A Ratio,0.06896551724137931
B/A Size,200x2900
Beta,
Bid,0.93
Bid Size,200.0
Closing Price,0.974
Day Change $,-0.036
Day Change %,-0.0356
Day High,1.02
Day Low,0.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.57
Ex-dividend Date,No dividend
Historical Volatility,1.0150000000000001
Last (size),8900.0
Last (time),5:00p ET 11/25/22
Market Cap,613.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.01
Short Interest,0.018000000000000002
Today's Open,0.97
Volume,411445.0
Volume 10-day Avg,1442909.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6633165829145728
Growth 2yr High Est,-0.90625
Growth 2yr Consensus Est,-0.7847832914572864
Growth 5yr Low Est,-0.6633165829145728
Growth 5yr High Est,-0.90625
Growth 5yr Consensus Est,-0.7847832914572864
Growth 5yr Actual/Est,-0.6222078796722416
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),0.10217
Price/Book (MRQ),1.6554
Price/Cash Flow (TTM),
5yr Low,0.8
5yr High,17.93
5yr Avg Return,-0.75885
Short Int Current Month,9744378.0
Short Int Prev Month,10721296.0
Short Int Pct of Float,0.018036399999999998
Days to Cover,6.07794
Float,593.793
Shares Outstanding,630.0777
Institutions Holding Shares,156.0
FCF Growth 5yr,2.6135023528281955
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.2493
Net Profit Margin (TTM),-0.2505
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1104
EPS Growth (TTM),-1.952
Revenue Growth (MRQ),0.0353
Revenue Growth (TTM),0.7529000000000001
Return On Equity (TTM),-1.4036000000000002
Return On Assets (TTM),-0.3676
Return On Investment (TTM),
Revenue Per Employee (TTM),1875376.0
Total Debt/Total Capital (MRQ),0.1863
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-27.71
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-09-02 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
