,BHG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.61,Valuation,
Price/Sales (TTM),0.1,2.33,Valuation,0.04291845493562232
Price/Book (MRQ),1.66,3.82,Valuation,0.43455497382198954
"PEG Ratio (TTM, GAAP)",,37.63,Valuation,
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),-0.2493,0.1298,Profitability,-1.9206471494607087
Net Profit Margin (TTM),-0.2505,0.10460000000000001,Profitability,-2.394837476099426
Annual Dividend Yield,,0.0168,Dividend,
Dividend Change %,,-0.0075,Dividend,
"Dividend Growth Rate, 3 Years",,0.0225,Dividend,
EPS Growth (MRQ),-0.1104,-0.0779,Gowth rates,1.417201540436457
EPS Growth (TTM),-1.952,-0.005200000000000001,Gowth rates,375.38461538461536
Revenue Growth (MRQ),0.0353,0.0897,Gowth rates,0.3935340022296544
Revenue Growth (TTM),0.7529000000000001,0.042800000000000005,Gowth rates,17.591121495327105
Return On Equity (TTM),-1.4036000000000002,0.3775,Effectiveness,-3.718145695364239
Return On Assets (TTM),-0.3676,0.031200000000000002,Effectiveness,-11.782051282051281
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),1875376.0,1261907.0,Effectiveness,1.486144383064679
Total Debt/Total Capital (MRQ),0.1863,0.4026,Financial strength,0.46274217585692995
Change in Debt/Total Capital Quarter over Quarter,,0.002,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),-27.71,10.79,Financial strength,-2.5681186283595925
