,PAG
% Below High,0.050300000000000004
% Held by Institutions,0.7979999999999999
52-Wk Range,['88.58 - 131.55']
Annual Dividend $,2.28
Annual Dividend %,0.0182
Ask,124.93
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,124.54
Bid Size,100.0
Day Change $,-0.56
Day Change %,-0.0045000000000000005
Day High,125.23
Day Low,124.5
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",18.28
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.414
Last (size),41.0
Last (time),10:00a ET 11/28/22
Market Cap,8.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.87
Prev Close,125.49
Price,124.93
Short Interest,0.08810000000000001
Today's Open,124.66
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.2937812723373838
Growth 1yr High Est,0.2052117263843649
Growth 1yr Consensus Est,0.24949649936087437
Growth 2yr Low Est,-0.006424280958379935
Growth 2yr High Est,0.10125451184083106
Growth 2yr Consensus Est,0.047415115441225564
Growth 5yr Low Est,0.4272353303379307
Growth 5yr High Est,0.5246838596940004
Growth 5yr Consensus Est,0.47595959501596563
Growth 5yr Actual/Est,0.3851875149693734
Growth 3yr Historic,0.37142849114288284
Price/Earnings (TTM),6.86526
Price/Sales (TTM),0.33019
Price/Book (MRQ),2.22979
Price/Cash Flow (TTM),5.86438
5yr Low,19.99
5yr High,131.55
5yr Avg Return,0.20563333333333336
EPS Growth 5yr,0.300546
Revenue Growth 5yr,0.0489989
Dividend Growth 5yr,0.1059506
Short Int Current Month,4972153.0
Short Int Prev Month,4827659.0
Short Int Pct of Float,0.0880865
Days to Cover,10.04459
Float,56.44123
Shares Outstanding,71.30346
Institutions Holding Shares,421.0
FCF Growth 5yr,0.3190082264310939
"Price/Earnings (TTM, GAAP)",6.87
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1784
Operating Profit Margin (TTM),0.055700000000000006
Net Profit Margin (TTM),0.0516
Annual Dividend Yield,0.0182
Dividend Change %,0.43310000000000004
"Dividend Growth Rate, 3 Years",0.0862
EPS Growth (MRQ),-0.066
EPS Growth (TTM),0.3654
Revenue Growth (MRQ),0.002
Revenue Growth (TTM),0.0809
Return On Equity (TTM),0.3523
Return On Assets (TTM),0.10640000000000001
Return On Investment (TTM),0.1545
Revenue Per Employee (TTM),1083964.0
Total Debt/Total Capital (MRQ),0.5088
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),0.25
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-26 00:00:00
theStreet since,2020-07-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-26 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
