,NSIT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.54,21.62,Valuation,0.6725254394079555
Price/Sales (TTM),0.35,5.43,Valuation,0.06445672191528545
Price/Book (MRQ),2.26,5.49,Valuation,0.41165755919854274
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.1525,0.33659999999999995,Profitability,0.45306001188354134
Operating Profit Margin (TTM),0.0375,-0.0824,Profitability,-0.45509708737864074
Net Profit Margin (TTM),0.0253,-0.1173,Profitability,-0.2156862745098039
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),-0.34880000000000005,0.1058,Gowth rates,-3.296786389413989
EPS Growth (TTM),0.2514,-0.0147,Gowth rates,-17.102040816326532
Revenue Growth (MRQ),-0.0762,0.1655,Gowth rates,-0.46042296072507555
Revenue Growth (TTM),0.14550000000000002,0.1855,Gowth rates,0.7843665768194071
Return On Equity (TTM),0.1728,0.23850000000000002,Effectiveness,0.7245283018867924
Return On Assets (TTM),0.0562,0.0752,Effectiveness,0.7473404255319148
Return On Investment (TTM),0.1058,0.1041,Effectiveness,1.016330451488953
Revenue Per Employee (TTM),902839.0,449465.0,Effectiveness,2.008697006440991
Total Debt/Total Capital (MRQ),0.3261,0.3575,Financial strength,0.9121678321678323
Change in Debt/Total Capital Quarter over Quarter,0.0032,0.0362,Financial strength,0.08839779005524862
Quick Ratio (MRQ),1.5,1.53,Financial strength,0.9803921568627451
Interest Coverage (MRQ),7.77,15.46,Financial strength,0.5025873221216041
