,NSIT
% Below High,0.0547
% Held by Institutions,1.075
52-Wk Range,['81.11 - 111.02']
Annual Dividend $,
Annual Dividend %,
Ask,118.09
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,75.14
Bid Size,100.0
Closing Price,104.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.22
Ex-dividend Date,No dividend
Historical Volatility,0.245
Last (size),255.0
Last (time),1:00p ET 11/25/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.54
Prev Close,104.95
Short Interest,0.0604
Today's Open,
Volume,92774.0
Volume 10-day Avg,286934.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.2326241134751772
Growth 1yr High Est,0.23305084745762716
Growth 1yr Consensus Est,0.23283748046640218
Growth 2yr Low Est,0.13357327653045403
Growth 2yr High Est,0.1663536024229716
Growth 2yr Consensus Est,0.1499634394767128
Growth 5yr Low Est,0.13606586588734454
Growth 5yr High Est,0.15309169024402192
Growth 5yr Consensus Est,0.14457877806568323
Growth 5yr Actual/Est,0.14474602550528787
Growth 3yr Historic,0.07226943230660093
Price/Earnings (TTM),14.54453
Price/Sales (TTM),0.34832
Price/Book (MRQ),2.25519
Price/Cash Flow (TTM),11.39725
5yr Low,28.25
5yr High,111.02
5yr Avg Return,0.20628333333333335
EPS Growth 5yr,0.20684650000000002
Revenue Growth 5yr,0.11459
Dividend Growth 5yr,
Short Int Current Month,2068238.0
Short Int Prev Month,2397904.0
Short Int Pct of Float,0.060420499999999995
Days to Cover,6.68582
Float,34.27067
Shares Outstanding,34.83116
Institutions Holding Shares,345.0
FCF Growth 5yr,-1.2161718325432949
"Price/Earnings (TTM, GAAP)",14.54
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1525
Operating Profit Margin (TTM),0.0375
Net Profit Margin (TTM),0.0253
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.34880000000000005
EPS Growth (TTM),0.2514
Revenue Growth (MRQ),-0.0762
Revenue Growth (TTM),0.14550000000000002
Return On Equity (TTM),0.1728
Return On Assets (TTM),0.0562
Return On Investment (TTM),0.1058
Revenue Per Employee (TTM),902839.0
Total Debt/Total Capital (MRQ),0.3261
Change in Debt/Total Capital Quarter over Quarter,0.0032
Quick Ratio (MRQ),1.5
Interest Coverage (MRQ),7.77
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-18 00:00:00
theStreet since,2020-06-08 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
