,BOOM
% Above Low,0.29460000000000003
% Held by Institutions,0.9011
52-Wk Range,['13.95 - 47.01']
Annual Dividend $,
Annual Dividend %,
Ask,20.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,18.06
Bid Size,100.0
Closing Price,18.06
Day Change $,0.33
Day Change %,0.018600000000000002
Day High,18.41
Day Low,17.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.18
Ex-dividend Date,No dividend
Historical Volatility,0.7440000000000001
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,352.7M
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,17.73
Short Interest,0.021
Today's Open,17.73
Volume,71398.0
Volume 10-day Avg,120812.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,3.883720930232559
Growth 2yr High Est,3.9565217391304337
Growth 2yr Consensus Est,3.9201213346814963
Growth 5yr Low Est,3.883720930232559
Growth 5yr High Est,3.9565217391304337
Growth 5yr Consensus Est,3.9201213346814963
Growth 5yr Actual/Est,1.5036746031746033
Growth 3yr Historic,0.21895238095238098
Price/Earnings (TTM),
Price/Sales (TTM),0.64029
Price/Book (MRQ),0.97258
Price/Cash Flow (TTM),6.27232
5yr Low,13.95
5yr High,76.68
5yr Avg Return,0.02736666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.1040434
Dividend Growth 5yr,
Short Int Current Month,391855.0
Short Int Prev Month,542191.0
Short Int Pct of Float,0.021024699999999997
Days to Cover,2.50246
Float,18.64781
Shares Outstanding,19.52964
Institutions Holding Shares,176.0
FCF Growth 5yr,-1.8495283265911187
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2783
Operating Profit Margin (TTM),0.0253
Net Profit Margin (TTM),0.0124
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.233
EPS Growth (TTM),-3.1305
Revenue Growth (MRQ),0.0521
Revenue Growth (TTM),1.2449
Return On Equity (TTM),-0.009000000000000001
Return On Assets (TTM),0.0105
Return On Investment (TTM),0.0148
Revenue Per Employee (TTM),366504.0
Total Debt/Total Capital (MRQ),0.1966
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.01
Interest Coverage (MRQ),7.57
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-07-16 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-05-13 00:00:00
