,KAR
% Above Low,0.18530000000000002
% Held by Institutions,1.1614
52-Wk Range,['11.15 - 22.10']
Annual Dividend $,
Annual Dividend %,
Ask,17.3
Ask Size,1400.0
B/A Ratio,0.07142857142857142
B/A Size,100x1400
Beta,1.5
Bid,12.0
Bid Size,100.0
Closing Price,13.21
Day Change $,-0.08
Day Change %,-0.006
Day High,13.35
Day Low,13.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.5650000000000001
Last (size),55.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,13.29
Short Interest,0.0713
Today's Open,13.21
Volume,247981.0
Volume 10-day Avg,663861.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.7857142857142858
Growth 1yr High Est,-0.6722689075630253
Growth 1yr Consensus Est,-0.7289915966386555
Growth 2yr Low Est,0.27380952380952384
Growth 2yr High Est,0.7023270846800257
Growth 2yr Consensus Est,0.48806830424477476
Growth 5yr Low Est,0.13690476190476192
Growth 5yr High Est,0.35116354234001285
Growth 5yr Consensus Est,0.24403415212238738
Growth 5yr Actual/Est,0.2759512665365865
Growth 3yr Historic,0.014031300593631973
Price/Earnings (TTM),
Price/Sales (TTM),0.84827
Price/Book (MRQ),0.97127
Price/Cash Flow (TTM),20.34898
5yr Low,9.41
5yr High,64.55
5yr Avg Return,-0.17546666666666666
EPS Growth 5yr,-0.3681651
Revenue Growth 5yr,-0.0649531
Dividend Growth 5yr,
Short Int Current Month,7600250.0
Short Int Prev Month,8879157.0
Short Int Pct of Float,0.0713222
Days to Cover,6.67361
Float,106.9293
Shares Outstanding,108.9078
Institutions Holding Shares,285.0
FCF Growth 5yr,0.8873281175912755
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4366
Operating Profit Margin (TTM),0.065
Net Profit Margin (TTM),-0.0048
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.11570000000000001
EPS Growth (TTM),0.3058
Revenue Growth (MRQ),0.0229
Revenue Growth (TTM),0.0453
Return On Equity (TTM),-0.0281
Return On Assets (TTM),-0.0013000000000000002
Return On Investment (TTM),-0.0024
Revenue Per Employee (TTM),176667.0
Total Debt/Total Capital (MRQ),0.1822
Change in Debt/Total Capital Quarter over Quarter,-0.006500000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.41
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-12 00:00:00
researchTeam since,2022-08-12 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-17 00:00:00
cfra since,
marketEdge opinion since,
