,KAR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,49.74,Valuation,
Price/Sales (TTM),0.85,4.84,Valuation,0.1756198347107438
Price/Book (MRQ),0.97,8.39,Valuation,0.11561382598331346
"PEG Ratio (TTM, GAAP)",,29.79,Valuation,
Gross Profit Margin (TTM),0.4366,0.3996,Profitability,1.0925925925925926
Operating Profit Margin (TTM),0.065,-0.0013000000000000002,Profitability,-49.99999999999999
Net Profit Margin (TTM),-0.0048,-0.084,Profitability,0.057142857142857134
Annual Dividend Yield,,0.011000000000000001,Dividend,
Dividend Change %,,0.0031,Dividend,
"Dividend Growth Rate, 3 Years",,0.076,Dividend,
EPS Growth (MRQ),0.11570000000000001,0.2796,Gowth rates,0.4138054363376252
EPS Growth (TTM),0.3058,0.0167,Gowth rates,18.311377245508982
Revenue Growth (MRQ),0.0229,6.5277,Gowth rates,0.003508126905341851
Revenue Growth (TTM),0.0453,0.4153,Gowth rates,0.10907777510233566
Return On Equity (TTM),-0.0281,0.24,Effectiveness,-0.11708333333333333
Return On Assets (TTM),-0.0013000000000000002,0.08750000000000001,Effectiveness,-0.014857142857142857
Return On Investment (TTM),-0.0024,0.1107,Effectiveness,-0.021680216802168018
Revenue Per Employee (TTM),176667.0,300402.0,Effectiveness,0.5881019433958495
Total Debt/Total Capital (MRQ),0.1822,0.44520000000000004,Financial strength,0.40925426774483376
Change in Debt/Total Capital Quarter over Quarter,-0.006500000000000001,0.0070999999999999995,Financial strength,-0.915492957746479
Quick Ratio (MRQ),,1.36,Financial strength,
Interest Coverage (MRQ),1.41,18.66,Financial strength,0.07556270096463022
