,LPRO
% Above Low,0.1391
% Held by Institutions,0.9225
52-Wk Range,['6.11 - 24.99']
Annual Dividend $,
Annual Dividend %,
Ask,25.05
Ask Size,100.0
Ask close,8.51
B/A Ratio,3.0
B/A Size,300x100
Beta,0.7
Bid,6.0
Bid Size,300.0
Bid close,5.32
Change Since Close,-0.21| |(-3.02%)
Closing Price,6.96
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.78
Ex-dividend Date,No dividend
Historical Volatility,0.679
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,6.75
Market Cap,879.1M
"P/E Ratio (TTM, GAAP)",8.91
Prev Close,6.96
Short Interest,0.0784
Today's Open,
Volume,1.0
Volume 10-day Avg,746668.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.47619047619047616
Growth 2yr High Est,-0.014084507042253502
Growth 2yr Consensus Est,-0.24513749161636483
Growth 5yr Low Est,-0.47619047619047616
Growth 5yr High Est,-0.014084507042253502
Growth 5yr Consensus Est,-0.24513749161636483
Growth 5yr Actual/Est,-0.8923576160210135
Growth 3yr Historic,-0.6880733944954128
Price/Earnings (TTM),8.90504
Price/Sales (TTM),4.30057
Price/Book (MRQ),3.76624
Price/Cash Flow (TTM),8.82386
5yr Low,6.11
5yr High,44.0
5yr Avg Return,0.27943999999999997
Short Int Current Month,8186286.0
Short Int Prev Month,7433530.0
Short Int Pct of Float,0.0783701
Days to Cover,7.57168
Float,112.1415
Shares Outstanding,126.3003
Institutions Holding Shares,255.0
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",8.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9031
Operating Profit Margin (TTM),0.6265999999999999
Net Profit Margin (TTM),0.4826
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.060599999999999994
EPS Growth (TTM),-0.2215
Revenue Growth (MRQ),-0.026600000000000002
Revenue Growth (TTM),0.0037
Return On Equity (TTM),0.5467000000000001
Return On Assets (TTM),0.28500000000000003
Return On Investment (TTM),0.2998
Revenue Per Employee (TTM),1548508.0
Total Debt/Total Capital (MRQ),0.3885
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),21.59
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-11-22 00:00:00
theStreet since,2021-11-22 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
