,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,11.52,10.55,35.24,44.0,23.73,,,,,
low,9.65,9.77,9.37,20.61,6.11,,,,,
change,0.010400000000000001,0.0788,2.3583000000000003,-0.3577,-0.6926000000000001,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,116454.0,147404.0,167695.0,201807.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,77067.0,66325.0,80298.0,72209.0,Balance Sheet
Other Receivables,,,,,,1345.0,2090.0,4309.0,2329.0,Balance Sheet
"Total Receivables, Net",,,,,,78412.0,68415.0,84607.0,74538.0,Balance Sheet
Prepaid Expenses,,,,,,2479.0,,,,Balance Sheet
Restricted Cash - Current,,,,,,3055.0,3031.0,3412.0,3349.0,Balance Sheet
Other Current Assets,,,,,,2394.0,1749.0,3341.0,3515.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,5449.0,4780.0,6753.0,6864.0,Balance Sheet
Total Current Assets,,,,,,202794.0,220599.0,259055.0,283209.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,7852.0,7840.0,7695.0,7547.0,Balance Sheet
Note Rcvble - Long Term,,,,,,42414.0,49187.0,33410.0,34385.0,Balance Sheet
Other Long Term Assets,,,,,,262.0,157.0,152.0,459.0,Balance Sheet
Total Assets,,,,,,318825.0,342732.0,366813.0,398963.0,Balance Sheet
Accounts Payable,,,,,,1285.0,195.0,421.0,183.0,Balance Sheet
Accrued Expenses,,,,,,3984.0,5510.0,6105.0,8838.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,3125.0,3125.0,3906.0,3750.0,Balance Sheet
Income Taxes Payable,,,,,,0.0,,,,Balance Sheet
Other Current Liabilities,,,,,,3671.0,3579.0,3583.0,4209.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,3671.0,3579.0,3583.0,4209.0,Balance Sheet
Total Current Liabilities,,,,,,12065.0,12409.0,14015.0,16980.0,Balance Sheet
Total Long Term Debt,,,,,,143135.0,142437.0,140959.0,144478.0,Balance Sheet
Total Debt,,,,,,146260.0,145562.0,144865.0,148228.0,Balance Sheet
"Other Liabilities, Total",,,,,,4643.0,4508.0,4371.0,4231.0,Balance Sheet
Total Liabilities,,,,,,159843.0,159354.0,159345.0,165689.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,0.0,0.0,0.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,,,,Balance Sheet
Common Stock,,,,,,1282.0,1282.0,1282.0,1282.0,Balance Sheet
Additional Paid-In Capital,,,,,,496983.0,498057.0,498745.0,499843.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-282439.0,-259285.0,-236159.0,-211630.0,Balance Sheet
Treasury Stock - Common,,,,,,-56844.0,-56676.0,-56400.0,-56221.0,Balance Sheet
Total Equity,,,,,,158982.0,183378.0,207468.0,233274.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,318825.0,342732.0,366813.0,398963.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,126213.0,126218.0,126226.0,126231.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,1985.0,1980.0,1973.0,1967.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,51630.0,50068.0,52044.0,50661.0,Income Statement
"Cost of Revenue, Total",,,,,,4739.0,4788.0,5085.0,5199.0,Income Statement
Selling/Gen/Admin Expense,,,,,,8999.0,10113.0,11169.0,15316.0,Income Statement
Labor & Related Expense,,,,,,945.0,1102.0,793.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,9944.0,11215.0,11962.0,15316.0,Income Statement
Research & Development,,,,,,1720.0,1823.0,2188.0,2355.0,Income Statement
Unusual Expense (Income),,,,,,0.0,0.0,0.0,0.0,Income Statement
Total Operating Expense,,,,,,16403.0,17826.0,19235.0,22870.0,Income Statement
Total Operating Income,,,,,,35227.0,32242.0,32809.0,27791.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-489.0,-803.0,-1124.0,-1608.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,36.0,25.0,22.0,321.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,11.0,0.0,0.0,-239.0,Income Statement
"Other, Net",,,,,,11.0,0.0,0.0,-239.0,Income Statement
Income Before Tax,,,,,,34785.0,31464.0,31707.0,26265.0,Income Statement
Income Tax - Total,,,,,,6945.0,8310.0,8581.0,1736.0,Income Statement
Income After Tax,,,,,,27840.0,23154.0,23126.0,24529.0,Income Statement
Net Inc Before Extra Items,,,,,,27840.0,23154.0,23126.0,24529.0,Income Statement
Total Net Income,,,,,,27840.0,23154.0,23126.0,24529.0,Income Statement
Preferred Dividends,,,,,,0.0,,,,Income Statement
Misc Earnings Adjustment,,,,,,0.0,,,,Income Statement
Total Adjust to Net Income,,,,,,0.0,,,,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,27840.0,23154.0,23126.0,24529.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,27840.0,23154.0,23126.0,24529.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,126201.0,126216.0,126222.0,126229.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,0.22,0.18,0.18,0.19,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,0.22,0.18,0.18,0.19,Income Statement
Diluted Weighted Average Shares,,,,,,126208.0,126216.0,126222.0,126229.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,0.22,0.18,0.18,0.19,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,0.22,0.18,0.18,0.19,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,489.0,803.0,1124.0,1608.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,293.0,304.0,310.0,66.0,Income Statement
Total Special Items,,,,,,0.0,0.0,0.0,0.0,Income Statement
Normalzd Income Before Tax,,,,,,34785.0,31464.0,31707.0,26265.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,0.0,0.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,6945.0,8310.0,8581.0,1736.0,Income Statement
Normalized Income After Tax,,,,,,27840.0,23154.0,23126.0,24529.0,Income Statement
Normalzd Inc Avail to Common,,,,,,27840.0,23154.0,23126.0,24529.0,Income Statement
Basic Normalized EPS,,,,,,0.22,0.18,0.18,0.19,Income Statement
Diluted Normalized EPS,,,,,,0.22,0.18,0.18,0.19,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,146082.0,23154.0,46280.0,70809.0,Cash Flow
Depreciation/Depletion,,,,,,1122.0,304.0,614.0,680.0,Cash Flow
Deferred Taxes,,,,,,20055.0,554.0,-998.0,-7860.0,Cash Flow
