,UMPQ
% Below High,0.09970000000000001
% Held by Institutions,0.8853
52-Wk Range,['15.77 - 22.06']
Annual Dividend $,0.84
Annual Dividend %,0.0415
Ask,20.22
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,19.52
Bid Size,100.0
Closing Price,19.86
Day Change $,-0.39
Day Change %,-0.019299999999999998
Day High,20.17
Day Low,19.76
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",1.57
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.334
Last (size),9.0
Last (time),4:00p ET 11/28/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.87
Prev Close,20.25
Short Interest,0.0263
Today's Open,20.07
Volume,731739.0
Volume 10-day Avg,1183089.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.15025906735751293
Growth 1yr High Est,-0.15897435897435896
Growth 1yr Consensus Est,-0.15461671316593595
Growth 2yr Low Est,0.04377290534563377
Growth 2yr High Est,0.5638055034396499
Growth 2yr Consensus Est,0.3037892043926418
Growth 5yr Low Est,-1.6961232556373909
Growth 5yr High Est,-1.3771023594709928
Growth 5yr Consensus Est,-1.5366128075541918
Growth 5yr Actual/Est,-1.5285810091875847
Growth 3yr Historic,-1.6502528901734101
Price/Earnings (TTM),12.86646
Price/Sales (TTM),3.52953
Price/Book (MRQ),1.81812
Price/Cash Flow (TTM),11.82468
5yr Low,8.88
5yr High,24.89
5yr Avg Return,-0.005716666666666659
EPS Growth 5yr,0.1295626
Revenue Growth 5yr,0.0124872
Dividend Growth 5yr,0.0558929
Short Int Current Month,5645247.0
Short Int Prev Month,5952339.0
Short Int Pct of Float,0.026273900000000003
Days to Cover,4.09301
Float,215.0328
Shares Outstanding,217.0533
Institutions Holding Shares,419.0
FCF Growth 5yr,0.36525148816302977
"Price/Earnings (TTM, GAAP)",12.87
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.36560000000000004
Net Profit Margin (TTM),0.2747
Annual Dividend Yield,0.0415
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0207
EPS Growth (MRQ),0.0688
EPS Growth (TTM),-0.2817
Revenue Growth (MRQ),0.1843
Revenue Growth (TTM),0.061399999999999996
Return On Equity (TTM),0.1331
Return On Assets (TTM),0.011000000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0077
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-06-21 00:00:00
theStreet since,2022-06-21 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-19 00:00:00
cfra since,
marketEdge opinion since,
