,AMBP
% Above Low,0.1637
% Held by Institutions,0.1911
52-Wk Range,['3.91 - 9.92']
Annual Dividend $,0.4
Annual Dividend %,0.08789999999999999
Ask,5.0
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,
Bid,4.26
Bid Size,600.0
Closing Price,4.55
Day Change $,0.06
Day Change %,0.0134
Day High,4.6
Day Low,4.46
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",0.39
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.489
Last (size),19100.0
Last (time),5:00p ET 11/25/22
Market Cap,2.7B
"P/E Ratio (TTM, GAAP)",11.66
Prev Close,4.49
Short Interest,0.0377
Today's Open,4.46
Volume,486466.0
Volume 10-day Avg,1674254.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3939393939393939
Growth 2yr High Est,0.23684210526315774
Growth 2yr Consensus Est,-0.07854864433811809
Growth 5yr Low Est,-0.3939393939393939
Growth 5yr High Est,0.23684210526315774
Growth 5yr Consensus Est,-0.07854864433811809
Growth 5yr Actual/Est,0.6080357142857143
Growth 3yr Historic,0.0
Price/Earnings (TTM),11.66278
Price/Sales (TTM),0.58405
Price/Book (MRQ),9.52656
Price/Cash Flow (TTM),4.6924
5yr Low,3.91
5yr High,21.74
5yr Avg Return,-0.1986
Short Int Current Month,5604236.0
Short Int Prev Month,3226998.0
Short Int Pct of Float,0.0376617
Days to Cover,3.17349
Float,149.1128
Shares Outstanding,603.308
Institutions Holding Shares,176.0
FCF Growth 5yr,0.29529623029896784
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",11.66
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1302
Operating Profit Margin (TTM),0.08130000000000001
Net Profit Margin (TTM),0.0513
Annual Dividend Yield,0.08789999999999999
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3764
EPS Growth (TTM),2.4529
Revenue Growth (MRQ),-0.0998
Revenue Growth (TTM),0.21730000000000002
Return On Equity (TTM),0.8408
Return On Assets (TTM),0.044000000000000004
Return On Investment (TTM),0.08900000000000001
Revenue Per Employee (TTM),810345.0
Total Debt/Total Capital (MRQ),0.8613
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.11
Interest Coverage (MRQ),2.08
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-10-31 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
theStreet since,2022-10-31 00:00:00
newConstructs since,
marketEdge opinion since,
