,AMBP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.66,14.62,Valuation,0.7975376196990425
Price/Sales (TTM),0.58,1.05,Valuation,0.5523809523809523
Price/Book (MRQ),9.53,5.55,Valuation,1.7171171171171171
"PEG Ratio (TTM, GAAP)",,0.41,Valuation,
Gross Profit Margin (TTM),0.1302,0.2208,Profitability,0.5896739130434783
Operating Profit Margin (TTM),0.08130000000000001,0.09230000000000001,Profitability,0.8808234019501626
Net Profit Margin (TTM),0.0513,0.0636,Profitability,0.8066037735849055
Annual Dividend Yield,0.08789999999999999,0.0259,Dividend,3.3938223938223935
Dividend Change %,,0.0837,Dividend,
"Dividend Growth Rate, 3 Years",,0.037700000000000004,Dividend,
EPS Growth (MRQ),-0.3764,0.5963,Gowth rates,-0.6312258930068757
EPS Growth (TTM),2.4529,0.35340000000000005,Gowth rates,6.940860215053763
Revenue Growth (MRQ),-0.0998,0.1054,Gowth rates,-0.9468690702087287
Revenue Growth (TTM),0.21730000000000002,0.1638,Gowth rates,1.3266178266178268
Return On Equity (TTM),0.8408,0.3788,Effectiveness,2.219640971488912
Return On Assets (TTM),0.044000000000000004,0.0592,Effectiveness,0.7432432432432433
Return On Investment (TTM),0.08900000000000001,0.0793,Effectiveness,1.1223203026481716
Revenue Per Employee (TTM),810345.0,433957.0,Effectiveness,1.8673393907691316
Total Debt/Total Capital (MRQ),0.8613,0.6087,Financial strength,1.4149827501232133
Change in Debt/Total Capital Quarter over Quarter,0.0006,-0.0001,Financial strength,-5.999999999999999
Quick Ratio (MRQ),1.11,0.9,Financial strength,1.2333333333333334
Interest Coverage (MRQ),2.08,9.25,Financial strength,0.22486486486486487
