,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,21.74,12.43,9.8,,,,,
low,9.66,8.38,3.91,,,,,
change,0.04,-0.14,-0.4958,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,463.0,225.0,436.0,583.0,Balance Sheet
"Total Receivables, Net",,,,694.0,899.0,1030.0,919.0,Balance Sheet
Total Inventory,,,,407.0,484.0,530.0,505.0,Balance Sheet
"Other Curr. Assets, Total",,,,97.0,143.0,114.0,72.0,Balance Sheet
Total Current Assets,,,,1661.0,1751.0,2110.0,2079.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,1842.0,1908.0,2047.0,2116.0,Balance Sheet
"Goodwill, Net",,,,,998.0,962.0,930.0,Balance Sheet
Intangibles - Net,,,,1662.0,610.0,551.0,495.0,Balance Sheet
Pension Bene. - Overfunded,,,,78.0,77.0,50.0,44.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,71.0,62.0,51.0,45.0,Balance Sheet
Other Long Term Assets,,,,11.0,20.0,17.0,25.0,Balance Sheet
Total Assets,,,,5325.0,5426.0,5788.0,5734.0,Balance Sheet
Accounts Payable,,,,1270.0,1201.0,1340.0,1182.0,Balance Sheet
Accrued Expenses,,,,12.0,33.0,13.0,43.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,2831.0,152.0,49.0,50.0,Balance Sheet
Dividends Payable,,,,,,,65.0,Balance Sheet
Customer Advances,,,,2.0,2.0,1.0,1.0,Balance Sheet
Income Taxes Payable,,,,40.0,47.0,53.0,46.0,Balance Sheet
Other Current Liabilities,,,,20.0,39.0,33.0,36.0,Balance Sheet
"Other Curr. Lblts, Total",,,,62.0,88.0,87.0,148.0,Balance Sheet
Total Current Liabilities,,,,4175.0,1474.0,1489.0,1423.0,Balance Sheet
Total Long Term Debt,,,,56.0,2819.0,3395.0,3353.0,Balance Sheet
Total Debt,,,,2887.0,2971.0,3444.0,3403.0,Balance Sheet
Deferred Income Tax,,,,207.0,207.0,178.0,158.0,Balance Sheet
Reserves,,,,18.0,,,,Balance Sheet
Pension Benefits - Underfunded,,,,256.0,226.0,175.0,131.0,Balance Sheet
