,ARES
Price/Earnings (TTM),92.76291
Price/Sales (TTM),6.6545
Price/Book (MRQ),15.08906
Price/Cash Flow (TTM),40.36219
5yr Low,16.19
5yr High,90.08
5yr Avg Return,0.3322
EPS Growth 5yr,0.1152905
Revenue Growth 5yr,0.27413139999999997
Dividend Growth 5yr,0.1687459
Short Int Current Month,3497367.0
Short Int Prev Month,4449894.0
Short Int Pct of Float,0.0257253
Days to Cover,2.49097
Float,132.3825
Shares Outstanding,290.6952
Institutions Holding Shares,464.0
% Held by Institutions,0.7306170000000001
FCF Growth 5yr,-1.6104797978155088
