,ARES
% Below High,0.0882
% Held by Institutions,0.7306
52-Wk Range,['53.15 - 86.06']
Annual Dividend $,2.44
Annual Dividend %,0.0311
Ask,90.11
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,60.21
Bid Size,100.0
Closing Price,78.47
Day Change $,-0.53
Day Change %,-0.0067
Day High,79.45
Day Low,77.98
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",0.85
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.467
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,13.9B
"P/E Ratio (TTM, GAAP)",92.76
Prev Close,79.0
Short Interest,0.025699999999999997
Today's Open,78.38
Volume,504830.0
Volume 10-day Avg,1291459.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.7586206896551724
Growth 1yr High Est,0.7830687830687832
Growth 1yr Consensus Est,0.7708447363619778
Growth 2yr Low Est,0.42016001803020053
Growth 2yr High Est,0.5384186645314243
Growth 2yr Consensus Est,0.4792893412808124
Growth 5yr Low Est,0.28010667868680034
Growth 5yr High Est,0.3589457763542829
Growth 5yr Consensus Est,0.3195262275205416
Growth 5yr Actual/Est,0.25232018458812044
Growth 3yr Historic,0.12387322129933681
Price/Earnings (TTM),92.76291
Price/Sales (TTM),6.6545
Price/Book (MRQ),15.08906
Price/Cash Flow (TTM),40.36219
5yr Low,16.19
5yr High,90.08
5yr Avg Return,0.3322
EPS Growth 5yr,0.1152905
Revenue Growth 5yr,0.27413139999999997
Dividend Growth 5yr,0.1687459
Short Int Current Month,3497367.0
Short Int Prev Month,4449894.0
Short Int Pct of Float,0.0257253
Days to Cover,2.49097
Float,132.3825
Shares Outstanding,290.6952
Institutions Holding Shares,464.0
FCF Growth 5yr,-1.6104797978155088
"Price/Earnings (TTM, GAAP)",92.76
"PEG Ratio (TTM, GAAP)",3.23
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.0928
Net Profit Margin (TTM),0.1201
Annual Dividend Yield,0.0311
Dividend Change %,0.1908
"Dividend Growth Rate, 3 Years",0.1978
EPS Growth (MRQ),-2.0751
EPS Growth (TTM),-0.5093
Revenue Growth (MRQ),0.3323
Revenue Growth (TTM),-0.0371
Return On Equity (TTM),0.0958
Return On Assets (TTM),0.02
Return On Investment (TTM),0.0302
Revenue Per Employee (TTM),1632326.0
Total Debt/Total Capital (MRQ),0.7322
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-08-05 00:00:00
ford since,2022-08-05 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-06-06 00:00:00
marketEdge opinion since,
