,ARES,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",92.76,20.51,Valuation,4.5226718673817645
Price/Sales (TTM),6.65,12.46,Valuation,0.5337078651685393
Price/Book (MRQ),15.09,4.63,Valuation,3.2591792656587475
"PEG Ratio (TTM, GAAP)",3.23,2.67,Valuation,1.2097378277153559
Gross Profit Margin (TTM),,0.5835,Profitability,
Operating Profit Margin (TTM),0.0928,0.269,Profitability,0.3449814126394052
Net Profit Margin (TTM),0.1201,0.1791,Profitability,0.6705750977107761
Annual Dividend Yield,0.0311,0.0257,Dividend,1.2101167315175096
Dividend Change %,0.1908,0.2049,Dividend,0.931185944363104
"Dividend Growth Rate, 3 Years",0.1978,0.1213,Dividend,1.6306677658697444
EPS Growth (MRQ),-2.0751,-0.2356,Gowth rates,8.807724957555179
EPS Growth (TTM),-0.5093,-0.0768,Gowth rates,6.631510416666667
Revenue Growth (MRQ),0.3323,0.0931,Gowth rates,3.5692803437164335
Revenue Growth (TTM),-0.0371,0.0447,Gowth rates,-0.8299776286353469
Return On Equity (TTM),0.0958,0.1783,Effectiveness,0.5372966909702749
Return On Assets (TTM),0.02,0.0492,Effectiveness,0.4065040650406504
Return On Investment (TTM),0.0302,0.1008,Effectiveness,0.2996031746031746
Revenue Per Employee (TTM),1632326.0,1125238.0,Effectiveness,1.4506495514726663
Total Debt/Total Capital (MRQ),0.7322,0.5241,Financial strength,1.3970616294600267
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0008,Financial strength,0.25
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),,21.92,Financial strength,
