,CTRA
% Below High,0.2446
% Held by Institutions,0.9521999999999999
52-Wk Range,['18.39 - 36.55']
Annual Dividend $,2.49
Annual Dividend %,0.0902
Ask,27.88
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.2
Bid,27.65
Bid Size,200.0
Closing Price,27.61
Day Change $,0.07
Day Change %,0.0025
Day High,27.94
Day Low,27.55
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",4.91
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.47000000000000003
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,21.8B
"P/E Ratio (TTM, GAAP)",5.62
Prev Close,27.54
Short Interest,0.046
Today's Open,27.68
Volume,3050890.0
Volume 10-day Avg,10864756.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,2.4306569343065694
Growth 1yr High Est,2.0115606936416186
Growth 1yr Consensus Est,2.221108813974094
Growth 2yr Low Est,1.0078816586426464
Growth 2yr High Est,1.0777573141912509
Growth 2yr Consensus Est,1.0428194864169487
Growth 5yr Low Est,0.5039408293213232
Growth 5yr High Est,0.5388786570956254
Growth 5yr Consensus Est,0.5214097432084743
Growth 5yr Actual/Est,0.8855793650793649
Growth 3yr Historic,0.6220238095238093
Price/Earnings (TTM),5.61795
Price/Sales (TTM),2.42012
Price/Book (MRQ),1.71969
Price/Cash Flow (TTM),3.90873
5yr Low,13.06
5yr High,36.55
5yr Avg Return,0.01621666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.2444325
Dividend Growth 5yr,0.5061227
Short Int Current Month,35645491.0
Short Int Prev Month,32060739.0
Short Int Pct of Float,0.0460215
Days to Cover,2.73389
Float,775.0717
Shares Outstanding,788.4673
Institutions Holding Shares,1060.0
FCF Growth 5yr,0.4683450671850202
"Price/Earnings (TTM, GAAP)",5.62
"PEG Ratio (TTM, GAAP)",0.66
Gross Profit Margin (TTM),0.8437000000000001
Operating Profit Margin (TTM),0.5757
Net Profit Margin (TTM),0.4415
Annual Dividend Yield,0.0902
Dividend Change %,0.55
"Dividend Growth Rate, 3 Years",0.3536
EPS Growth (MRQ),-0.0143
EPS Growth (TTM),4.6246
Revenue Growth (MRQ),-0.0202
Revenue Growth (TTM),4.3495
Return On Equity (TTM),0.5293
Return On Assets (TTM),0.3173
Return On Investment (TTM),0.34299999999999997
Revenue Per Employee (TTM),9610317.0
Total Debt/Total Capital (MRQ),0.1509
Change in Debt/Total Capital Quarter over Quarter,-0.0045000000000000005
Quick Ratio (MRQ),1.62
Interest Coverage (MRQ),89.35
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
