,KLIC
% Above Low,0.3099
% Held by Institutions,1.0058
52-Wk Range,['35.95 - 73.45']
Annual Dividend $,0.76
Annual Dividend %,0.0161
Ask,47.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,46.71
Bid Size,100.0
Closing Price,47.09
Day Change $,-0.72
Day Change %,-0.0151
Day High,47.64
Day Low,46.96
Dividend Pay Date,2023-01-09 00:00:00
"EPS (TTM, GAAP)",7.06
Ex-dividend,2022-12-21 00:00:00
Ex-dividend Date,12/21/22
Historical Volatility,0.5479999999999999
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.67
Prev Close,47.81
Short Interest,0.1292
Today's Open,47.09
Volume,104170.0
Volume 10-day Avg,841546.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.7834036568213784
Growth 1yr High Est,-0.6990679094540613
Growth 1yr Consensus Est,-0.7412357831377199
Growth 2yr Low Est,0.17647998977112894
Growth 2yr High Est,0.03763418686588971
Growth 2yr Consensus Est,0.10705708831850932
Growth 5yr Low Est,1.4634373633066171
Growth 5yr High Est,1.3463788740012457
Growth 5yr Consensus Est,1.4049081186539316
Growth 5yr Actual/Est,1.4622686757107035
Growth 3yr Historic,1.4191282358991941
Price/Earnings (TTM),6.67443
Price/Sales (TTM),1.78571
Price/Book (MRQ),2.25184
Price/Cash Flow (TTM),5.90325
5yr Low,16.91
5yr High,75.29
5yr Avg Return,0.15493333333333334
EPS Growth 5yr,0.3227641
Revenue Growth 5yr,0.1319663
Dividend Growth 5yr,
Short Int Current Month,7119609.0
Short Int Prev Month,6878401.0
Short Int Pct of Float,0.12916729999999998
Days to Cover,11.10378
Float,55.4165
Shares Outstanding,57.01899
Institutions Holding Shares,398.0
FCF Growth 5yr,0.5866095597490741
"Price/Earnings (TTM, GAAP)",6.67
"PEG Ratio (TTM, GAAP)",0.33
Gross Profit Margin (TTM),0.49770000000000003
Operating Profit Margin (TTM),0.31260000000000004
Net Profit Margin (TTM),0.2883
Annual Dividend Yield,0.0161
Dividend Change %,0.2143
"Dividend Growth Rate, 3 Years",0.1231
EPS Growth (MRQ),-0.4451
EPS Growth (TTM),0.22039999999999998
Revenue Growth (MRQ),-0.2306
Revenue Growth (TTM),-0.009300000000000001
Return On Equity (TTM),0.3787
Return On Assets (TTM),0.2718
Return On Investment (TTM),0.3348
Revenue Per Employee (TTM),510741.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.61
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
theStreet since,2020-11-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
