,SBGI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",0.54,15.8,Valuation,0.03417721518987342
Price/Sales (TTM),0.29,2.92,Valuation,0.09931506849315068
Price/Book (MRQ),1.85,3.23,Valuation,0.5727554179566564
"PEG Ratio (TTM, GAAP)",,10.23,Valuation,
Gross Profit Margin (TTM),0.44689999999999996,0.5389,Profitability,0.8292818704768973
Operating Profit Margin (TTM),0.8749,0.14,Profitability,6.249285714285714
Net Profit Margin (TTM),0.5761000000000001,0.1103,Profitability,5.223028105167725
Annual Dividend Yield,0.0536,0.0176,Dividend,3.0454545454545454
Dividend Change %,0.0,0.056900000000000006,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0263,0.0675,Dividend,0.3896296296296296
EPS Growth (MRQ),2.9362,0.7041,Gowth rates,4.170146286038915
EPS Growth (TTM),13.9275,0.0154,Gowth rates,904.3831168831168
Revenue Growth (MRQ),0.0072,0.1423,Gowth rates,0.05059732958538299
Revenue Growth (TTM),-0.2797,0.1115,Gowth rates,-2.5085201793721974
Return On Equity (TTM),,0.1409,Effectiveness,
Return On Assets (TTM),0.2632,0.0388,Effectiveness,6.783505154639175
Return On Investment (TTM),0.2968,0.049800000000000004,Effectiveness,5.959839357429718
Revenue Per Employee (TTM),386435.0,648551.0,Effectiveness,0.5958436576306259
Total Debt/Total Capital (MRQ),0.8372,0.5946,Financial strength,1.4080053817692566
Change in Debt/Total Capital Quarter over Quarter,-0.0034000000000000002,0.0004,Financial strength,-8.5
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),4.85,5.53,Financial strength,0.8770343580470161
