,SBGI
% Above Low,0.1259
% Held by Institutions,0.7737
52-Wk Range,['16.05 - 31.04']
Annual Dividend $,1.0
Annual Dividend %,0.0536
Ask,18.09
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,18.05
Bid Size,200.0
Day Change $,-0.6
Day Change %,-0.0321
Day High,18.69
Day Low,18.01
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",34.29
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.474
Last (size),100.0
Last (time),1:41p ET 11/28/22
Market Cap,1.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",0.54
Prev Close,18.67
Price,18.07
Short Interest,0.0547
Today's Open,18.47
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.0357634112792298
Growth 2yr High Est,-0.8925886143931256
Growth 2yr Consensus Est,-0.9641760128361777
Growth 5yr Low Est,-1.0357634112792298
Growth 5yr High Est,-0.8925886143931256
Growth 5yr Consensus Est,-0.9641760128361777
Growth 5yr Actual/Est,-17.422613372279294
Growth 3yr Historic,-15.258308985845993
Price/Earnings (TTM),0.5444
Price/Sales (TTM),0.29251
Price/Book (MRQ),1.84714
Price/Cash Flow (TTM),0.34065
5yr Low,10.58
5yr High,66.57
5yr Avg Return,-0.07725
EPS Growth 5yr,
Revenue Growth 5yr,0.1852373
Dividend Growth 5yr,0.0256051
Short Int Current Month,2264546.0
Short Int Prev Month,2119710.0
Short Int Pct of Float,0.0546862
Days to Cover,2.57789
Float,41.42518
Shares Outstanding,69.62583
Institutions Holding Shares,236.0
FCF Growth 5yr,0.9582911287171939
"Price/Earnings (TTM, GAAP)",0.54
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.44689999999999996
Operating Profit Margin (TTM),0.8749
Net Profit Margin (TTM),0.5761000000000001
Annual Dividend Yield,0.0536
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0263
EPS Growth (MRQ),2.9362
EPS Growth (TTM),13.9275
Revenue Growth (MRQ),0.0072
Revenue Growth (TTM),-0.2797
Return On Equity (TTM),
Return On Assets (TTM),0.2632
Return On Investment (TTM),0.2968
Revenue Per Employee (TTM),386435.0
Total Debt/Total Capital (MRQ),0.8372
Change in Debt/Total Capital Quarter over Quarter,-0.0034000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.85
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-06-02 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-22 00:00:00
cfra since,
marketEdge opinion since,
