,IDXX
% Above Low,0.2974
% Held by Institutions,0.8889
52-Wk Range,['317.06 - 664.70']
Annual Dividend $,
Annual Dividend %,
Ask,412.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,410.52
Bid Size,100.0
Closing Price,411.36
Day Change $,-5.17
Day Change %,-0.0124
Day High,413.85
Day Low,407.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.86
Ex-dividend Date,No dividend
Historical Volatility,0.42700000000000005
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,34.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",52.32
Prev Close,416.53
Short Interest,0.0297
Today's Open,412.19
Volume,188102.0
Volume 10-day Avg,463297.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.055488540410132625
Growth 1yr High Est,0.007058823529411784
Growth 1yr Consensus Est,-0.02421485844036042
Growth 2yr Low Est,0.01887131089327343
Growth 2yr High Est,0.07654343045629464
Growth 2yr Consensus Est,0.04770737067478403
Growth 5yr Low Est,0.19852463849748414
Growth 5yr High Est,0.21930619798676804
Growth 5yr Consensus Est,0.2089154182421261
Growth 5yr Actual/Est,0.19000607781526305
Growth 3yr Historic,0.16346432239522857
Price/Earnings (TTM),52.31811
Price/Sales (TTM),10.20035
Price/Book (MRQ),71.72457
Price/Cash Flow (TTM),43.65355
5yr Low,151.74
5yr High,706.95
5yr Avg Return,0.2444
EPS Growth 5yr,0.2863138
Revenue Growth 5yr,0.1261223
Dividend Growth 5yr,
Short Int Current Month,2451455.0
Short Int Prev Month,2390257.0
Short Int Pct of Float,0.029740600000000002
Days to Cover,3.77879
Float,82.00562
Shares Outstanding,82.81696
Institutions Holding Shares,1308.0
FCF Growth 5yr,0.3310838866875915
"Price/Earnings (TTM, GAAP)",52.32
"PEG Ratio (TTM, GAAP)",3.02
Gross Profit Margin (TTM),0.5916
Operating Profit Margin (TTM),0.2609
Net Profit Margin (TTM),0.2005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.38310000000000005
EPS Growth (TTM),-0.0986
Revenue Growth (MRQ),-0.0219
Revenue Growth (TTM),0.0653
Return On Equity (TTM),1.0882
Return On Assets (TTM),0.2665
Return On Investment (TTM),0.41840000000000005
Revenue Per Employee (TTM),322690.0
Total Debt/Total Capital (MRQ),0.7454000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0048
Quick Ratio (MRQ),0.59
Interest Coverage (MRQ),23.0
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-11-03 00:00:00
researchTeam since,2021-10-18 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-11-02 00:00:00
ford since,2021-03-26 00:00:00
marketEdge opinion since,
