,MAN
% Above Low,0.37920000000000004
% Held by Institutions,0.9965
52-Wk Range,['64.00 - 115.54']
Annual Dividend $,2.72
Annual Dividend %,0.0308
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,0.1
Bid Size,
Closing Price,88.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.11
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.389
Last (size),620.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.89
Prev Close,88.27
Short Interest,0.0325
Today's Open,
Volume,107311.0
Volume 10-day Avg,308163.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.150354609929078
Growth 1yr High Est,0.1673469387755102
Growth 1yr Consensus Est,0.1588507743522941
Growth 2yr Low Est,-0.03024809577528831
Growth 2yr High Est,0.12504876076304638
Growth 2yr Consensus Est,0.04740033249387904
Growth 5yr Low Est,-0.0253281295202972
Growth 5yr High Est,0.05817946059542692
Growth 5yr Consensus Est,0.01642566553756486
Growth 5yr Actual/Est,0.12477611172656436
Growth 3yr Historic,0.11503396043437514
Price/Earnings (TTM),10.88981
Price/Sales (TTM),0.21875
Price/Book (MRQ),1.86853
Price/Cash Flow (TTM),8.53938
5yr Low,49.57
5yr High,136.93
5yr Avg Return,-0.01888333333333333
EPS Growth 5yr,0.0195075
Revenue Growth 5yr,0.0106616
Dividend Growth 5yr,0.07938010000000001
Short Int Current Month,1628346.0
Short Int Prev Month,1713515.0
Short Int Pct of Float,0.032499
Days to Cover,5.63629
Float,50.1082
Shares Outstanding,50.55713
Institutions Holding Shares,458.0
FCF Growth 5yr,-4.803194462833017
"Price/Earnings (TTM, GAAP)",10.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1776
Operating Profit Margin (TTM),0.0317
Net Profit Margin (TTM),0.021400000000000002
Annual Dividend Yield,0.0308
Dividend Change %,0.115
"Dividend Growth Rate, 3 Years",0.0765
EPS Growth (MRQ),-0.07
EPS Growth (TTM),0.305
Revenue Growth (MRQ),-0.0538
Revenue Growth (TTM),0.0002
Return On Equity (TTM),0.1788
Return On Assets (TTM),0.0484
Return On Investment (TTM),0.10650000000000001
Revenue Per Employee (TTM),680020.0
Total Debt/Total Capital (MRQ),0.2705
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),15.99
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-11-22 00:00:00
ford since,2022-06-03 00:00:00
cfra since,
marketEdge opinion since,
