,TROW
% Above Low,0.29510000000000003
% Held by Institutions,0.758
52-Wk Range,['93.53 - 208.30']
Annual Dividend $,4.8
Annual Dividend %,0.0384
Ask,121.44
Ask Size,100.0
B/A Ratio,45.0
B/A Size,4500x100
Beta,1.3
Bid,120.7
Bid Size,4500.0
Closing Price,121.13
Day Change $,-3.92
Day Change %,-0.0313
Day High,124.93
Day Low,120.76
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",8.71
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.419
Last (size),10.0
Last (time),4:00p ET 11/28/22
Market Cap,27.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.36
Prev Close,125.05
Short Interest,0.08710000000000001
Today's Open,123.8
Volume,1310918.0
Volume 10-day Avg,1971272.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.3817460317460317
Growth 1yr High Est,-0.37509727626459144
Growth 1yr Consensus Est,-0.3784216540053116
Growth 2yr Low Est,-0.30255465900523665
Growth 2yr High Est,-0.18692597312606907
Growth 2yr Consensus Est,-0.24474031606565286
Growth 5yr Low Est,-0.006821721172329681
Growth 5yr High Est,0.03902713346807685
Growth 5yr Consensus Est,0.016102706147873583
Growth 5yr Actual/Est,0.01017552224334728
Growth 3yr Historic,0.12950261671750057
Price/Earnings (TTM),14.35764
Price/Sales (TTM),4.03475
Price/Book (MRQ),3.14355
Price/Cash Flow (TTM),12.30104
5yr Low,82.51
5yr High,224.56
5yr Avg Return,0.07074999999999998
EPS Growth 5yr,0.22524170000000002
Revenue Growth 5yr,0.1235554
Dividend Growth 5yr,0.1486984
Short Int Current Month,19065412.0
Short Int Prev Month,18652087.0
Short Int Pct of Float,0.0871285
Days to Cover,7.19086
Float,219.1104
Shares Outstanding,223.4648
Institutions Holding Shares,1339.0
FCF Growth 5yr,0.10061547422082624
"Price/Earnings (TTM, GAAP)",14.36
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.43170000000000003
Net Profit Margin (TTM),0.27340000000000003
Annual Dividend Yield,0.0384
Dividend Change %,0.2
"Dividend Growth Rate, 3 Years",0.1555
EPS Growth (MRQ),0.1374
EPS Growth (TTM),-0.3436
Revenue Growth (MRQ),0.0497
Revenue Growth (TTM),-0.0695
Return On Equity (TTM),0.2311
Return On Assets (TTM),0.16149999999999998
Return On Investment (TTM),0.2002
Revenue Per Employee (TTM),919896.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.99
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2022-07-14 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-28 00:00:00
ford since,2022-03-11 00:00:00
marketEdge opinion since,
