,DISH
% Above Low,0.2749
% Held by Institutions,0.8131
52-Wk Range,['12.55 - 37.28']
Annual Dividend $,
Annual Dividend %,
Ask,16.01
Ask Size,1400.0
B/A Ratio,6.857142857142857
B/A Size,9600x1400
Beta,1.8
Bid,14.55
Bid Size,9600.0
Closing Price,16.0
Day Change $,0.11
Day Change %,0.0069
Day High,16.1
Day Low,15.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.01
Ex-dividend Date,No dividend
Historical Volatility,0.629
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,8.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.31
Prev Close,15.89
Short Interest,0.10980000000000001
Today's Open,15.85
Volume,1020578.0
Volume 10-day Avg,3388519.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.07172995780590719
Growth 1yr High Est,0.10943396226415092
Growth 1yr Consensus Est,0.018852002229121867
Growth 2yr Low Est,-0.5517740698120445
Growth 2yr High Est,0.09383262739057885
Growth 2yr Consensus Est,-0.2289707212107328
Growth 5yr Low Est,-0.27588703490602223
Growth 5yr High Est,0.046916313695289424
Growth 5yr Consensus Est,-0.1144853606053664
Growth 5yr Actual/Est,-0.08144891043370409
Growth 3yr Historic,0.10412633723892001
Price/Earnings (TTM),5.31214
Price/Sales (TTM),0.49707
Price/Book (MRQ),0.49978
Price/Cash Flow (TTM),3.17558
5yr Low,12.55
5yr High,52.32
5yr Avg Return,-0.11156666666666666
EPS Growth 5yr,0.0384633
Revenue Growth 5yr,0.0328563
Dividend Growth 5yr,
Short Int Current Month,27759959.0
Short Int Prev Month,27924222.0
Short Int Pct of Float,0.10981719999999999
Days to Cover,4.88835
Float,251.082
Shares Outstanding,530.7062
Institutions Holding Shares,592.0
FCF Growth 5yr,-1.2173431267404367
"Price/Earnings (TTM, GAAP)",5.31
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.32670000000000005
Operating Profit Margin (TTM),0.13949999999999999
Net Profit Margin (TTM),0.1161
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.212
EPS Growth (TTM),-0.2772
Revenue Growth (MRQ),-0.027200000000000002
Revenue Growth (TTM),-0.050499999999999996
Return On Equity (TTM),0.1202
Return On Assets (TTM),0.044000000000000004
Return On Investment (TTM),0.0514
Revenue Per Employee (TTM),1178117.0
Total Debt/Total Capital (MRQ),0.5272
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.4
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-04 00:00:00
cfra since,2022-08-04 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-12-13 00:00:00
