,NTLA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),76.05,45.03,Valuation,1.6888740839440373
Price/Book (MRQ),4.61,12.61,Valuation,0.36558287073750995
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-8.3361,-4.7459,Profitability,1.756484544554247
Net Profit Margin (TTM),-8.5992,-4.5467,Profitability,1.8913057822156727
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.12140000000000001,-0.0014000000000000002,Gowth rates,86.71428571428571
EPS Growth (TTM),-0.7493000000000001,0.027200000000000002,Gowth rates,-27.547794117647058
Revenue Growth (MRQ),-0.0545,1.3963999999999999,Gowth rates,-0.0390289315382412
Revenue Growth (TTM),0.9184000000000001,0.9747,Gowth rates,0.9422386375294963
Return On Equity (TTM),-0.4576,0.1967,Effectiveness,-2.326385358413828
Return On Assets (TTM),-0.3654,0.0016,Effectiveness,-228.375
Return On Investment (TTM),-0.4035,0.0219,Effectiveness,-18.424657534246577
Revenue Per Employee (TTM),105984.0,1476201.0,Effectiveness,0.07179510107363428
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
